global_step,exp17_variant,dpo_loss,dpo_loss_raw,dpo_loss_saturated,implicit_acc,win_gap,lose_gap,raw_win_gap,raw_lose_gap,norm_win_gap,norm_lose_gap,norm_lose_gap_clipped,adaptive_norm_win_gap,adaptive_norm_lose_gap,adaptive_norm_lose_gap_clipped,adaptive_norm_mode,gap_normalization,gap_eps,lose_gap_clip_tau,mse_w,ref_mse_w,mse_l,ref_mse_l,loser_dominant_ratio,sigma_term,grad_norm,total_loss,anchored_total_loss,sft_loss,sft_reg_weight,lose_gap_weight,winner_abs_reg,winner_abs_reg_weight,winner_gap_reg,winner_gap_reg_weight,winner_gap_reg_margin,lambda_abs,lambda_pos,margin_pos,margin_pref,target_margin,sat_weight_mean,saturated_pair_ratio,saturation_kappa,relu_win_gap_mean,relu_win_gap_max,win_gap_positive_ratio,mse_w_over_ref_mse_w,mse_l_over_ref_mse_l,reward_margin,kl_divergence,inside_term_mean,inside_term_min,inside_term_max,loss_region_mode,region_mask_weight,region_boundary_weight,region_outside_weight,mask_area_ratio,boundary_area_ratio,outside_area_ratio,region_weight_sum,boundary_mode,mask_weight,boundary_weight,outside_weight,mask_region_mse,boundary_region_mse,outside_region_mse,region_weighted_mse_w,region_weighted_mse_l,region_weighted_ref_mse_w,region_weighted_ref_mse_l
1,saturation,0.6890507936477661,0.6936885118484497,0.6890507936477661,0.25,0.00014323863433673978,-0.0002920471888501197,2.3038126528263092e-05,-4.766881465911865e-05,0.00014323863433673978,-0.0002920471888501197,-0.0002920471888501197,null,null,null,null,log_ratio,1e-06,1.0,0.16904661059379578,0.1690235733985901,0.1645306795835495,0.16457834839820862,0.0,0.4997296631336212,3.257529197557803,0.697734534740448,0.697734534740448,0.16904661059379578,0.0,0.25,0.16904661059379578,0.05,0.0002313650184078142,1.0,0.0,0.05,1.0,0.0,-0.0002162504242733121,1.0,0.9933143258094788,0.0,5.0,0.0002313650184078142,0.0008588915807195008,0.5625,1.0001362562179565,0.9997103810310364,0.004515933804214001,-6.161630153656006e-06,-0.0005136676481924951,-0.0016310156788676977,0.0013996422057971358,region,1.0,0.75,0.05,0.2398534119129181,0.0634259283542633,0.6967207193374634,522.0593872070312,outer,1.0,0.75,0.05,0.20569077134132385,0.09792729467153549,0.0140298493206501,0.16904661059379578,0.1645306795835495,0.1690235733985901,0.16457834839820862
10,saturation,0.6764403581619263,0.6811099052429199,0.6764403581619263,1.0,-0.0023262249305844307,0.010146407410502434,-2.7331756427884102e-05,0.0001054513268172741,-0.0023262249305844307,0.010146407410502434,0.010146407410502434,null,null,null,null,log_ratio,1e-06,1.0,0.011049998924136162,0.011077330447733402,0.01051093265414238,0.010405480861663818,1.0,0.5060782432556152,8.011274067107244,0.6778210401535034,0.6778210401535034,0.011049998924136162,0.0,0.25,0.011049998924136162,0.05,0.0008281795307993889,1.0,0.0,0.05,1.0,0.0,0.004862826783210039,1.0,0.9931435585021973,0.0,5.0,0.0008281795307993889,0.0050359307788312435,0.1875,0.9975326657295227,1.010134220123291,0.000539066328201443,1.9530300050973892e-05,0.03171539679169655,0.004068228881806135,0.07183481752872467,region,1.0,0.75,0.05,0.2661265432834625,0.06161265820264816,0.6722608208656311,560.4375,outer,1.0,0.75,0.05,0.013385659083724022,0.00530568603426218,0.0004582276160363108,0.011049998924136162,0.01051093265414238,0.011077330447733402,0.010405480861663818
20,saturation,0.6685688495635986,0.6732584834098816,0.6685688495635986,0.5,-0.004426801577210426,0.014778375625610352,-8.941700798459351e-06,2.184286859119311e-05,-0.004426801577210426,0.014778375625610352,0.014778375625610352,null,null,null,null,log_ratio,1e-06,1.0,0.0019432071130722761,0.0019521488575264812,0.001536849420517683,0.001515006646513939,1.0,0.5101503133773804,35.743303024574644,0.6704465746879578,0.6704465746879578,0.0019432071130722761,0.0,0.25,0.0019432071130722761,0.05,0.0017805446404963732,1.0,0.0,0.05,1.0,0.0,0.008121395483613014,1.0,0.9930317401885986,0.0,5.0,0.0017805446404963732,0.011781280860304832,0.25,0.9954195618629456,1.0144176483154297,0.00040635766345076263,3.2252282835543156e-06,0.011267948895692825,-0.06820044666528702,0.07665529102087021,region,1.0,0.75,0.05,0.2057870477437973,0.05914352089166641,0.7350694537162781,464.7750244140625,outer,1.0,0.75,0.05,0.0025380291044712067,0.0007000884506851435,0.00011264436034252867,0.0019432071130722761,0.001536849420517683,0.0019521488575264812,0.001515006646513939
30,saturation,0.6640949249267578,0.6687958240509033,0.6640949249267578,1.0,-0.0066109513863921165,0.013285450637340546,-2.3215499822981656e-05,4.231906495988369e-05,-0.0066109513863921165,0.013285450637340546,0.013285450637340546,null,null,null,null,log_ratio,1e-06,1.0,0.0034630855079740286,0.003486301051452756,0.003193418961018324,0.003151100128889084,1.0,0.5124128460884094,15.898657630505532,0.6646929979324341,0.6646929979324341,0.0034630855079740286,0.0,0.25,0.0034630855079740286,0.05,0.0004249057383276522,1.0,0.0,0.05,1.0,0.0,0.009932314045727253,1.0,0.992968738079071,0.0,5.0,0.0004249057383276522,0.004706732928752899,0.1875,0.9933409094810486,1.013429880142212,0.00026966631412506104,4.775822162628174e-06,0.08063912391662598,0.04966156929731369,0.11834858357906342,region,1.0,0.75,0.05,0.2907407581806183,0.06728395074605942,0.6419753432273865,604.75,outer,1.0,0.75,0.05,0.00411054864525795,0.001818237011320889,0.00018445722525939345,0.0034630855079740286,0.003193418961018324,0.003486301051452756,0.003151100128889084
40,saturation,0.6544275283813477,0.6591529846191406,0.6544275283813477,1.0,-0.009695944376289845,0.016755186021327972,-0.0005121920257806778,0.0006311041070148349,-0.009695944376289845,0.016755186021327972,0.016755186021327972,null,null,null,null,log_ratio,1e-06,1.0,0.04868220165371895,0.04919439181685448,0.03850466012954712,0.03787355497479439,1.0,0.5173489451408386,2.8900532270726034,0.6570210456848145,0.6570210456848145,0.04868220165371895,0.0,0.25,0.04868220165371895,0.05,0.00015935830015223473,1.0,0.0,0.05,1.0,0.0,0.013884740881621838,1.0,0.9928295016288757,0.0,5.0,0.00015935830015223473,0.0025497328024357557,0.0625,0.9895884394645691,1.0166634321212769,0.01017753966152668,2.9727816581726074e-05,0.12481684982776642,0.06942370533943176,0.19133025407791138,region,1.0,0.75,0.05,0.22777779400348663,0.06790123879909515,0.704321026802063,508.5500183105469,outer,1.0,0.75,0.05,0.061703670769929886,0.02270630933344364,0.002023054752498865,0.04868220165371895,0.03850466012954712,0.04919439181685448,0.03787355497479439
50,saturation,0.6637368202209473,0.6684389710426331,0.6637368202209473,1.0,-0.006918067112565041,0.013317028060555458,-3.6016106605529785e-05,5.872693145647645e-05,-0.006918067112565041,0.013317028060555458,0.013317028060555458,null,null,null,null,log_ratio,1e-06,1.0,0.005148191004991531,0.005184207111597061,0.004352720454335213,0.004293993581086397,1.0,0.5128063559532166,8.183152305192696,0.6682633757591248,0.6682633757591248,0.005148191004991531,0.0,0.25,0.005148191004991531,0.05,0.004269097466021776,1.0,0.0,0.05,1.0,0.0,0.010247323662042618,1.0,0.9929578304290771,0.0,5.0,0.004269097466021776,0.024276956915855408,0.375,0.9930527210235596,1.0136765241622925,0.0007954702014103532,5.677808076143265e-06,0.05716782808303833,0.033180586993694305,0.10793384909629822,region,1.0,0.75,0.05,0.2687114179134369,0.07029321044683456,0.6609954237937927,574.2593994140625,outer,1.0,0.75,0.05,0.006376386620104313,0.001980703789740801,0.00021560577442869544,0.005148191004991531,0.004352720454335213,0.005184207111597061,0.004293993581086397
60,saturation,0.6254259943962097,0.6302255988121033,0.6254259943962097,1.0,-0.018056701868772507,0.03220747038722038,-0.0029556313529610634,0.003670708741992712,-0.018056701868772507,0.03220747038722038,0.03220747038722038,null,null,null,null,log_ratio,1e-06,1.0,0.16164830327033997,0.16460393369197845,0.11580060422420502,0.11212989687919617,1.0,0.5325894355773926,2.380716128653279,0.6335083842277527,0.6335083842277527,0.16164830327033997,0.0,0.25,0.16164830327033997,0.05,0.0,1.0,0.0,0.05,1.0,0.0,0.026108570396900177,1.0,0.9923809170722961,0.0,5.0,0.0,0.0,0.0,0.982043981552124,1.0327361822128296,0.045847706496715546,0.00017876923084259033,0.1349765956401825,0.0952824056148529,0.20600351691246033,region,1.0,0.75,0.05,0.2888889014720917,0.07407407462596893,0.6370370388031006,609.6000366210938,outer,1.0,0.75,0.05,0.19928009808063507,0.05493515357375145,0.006464420352131128,0.16164830327033997,0.11580060422420502,0.16460393369197845,0.11212989687919617
70,saturation,0.6274125576019287,0.6322071552276611,0.6274125576019287,1.0,-0.008301465772092342,0.0682382807135582,-0.000721979420632124,0.005545026622712612,-0.008301465772092342,0.0682382807135582,0.0682382807135582,null,null,null,null,log_ratio,1e-06,1.0,0.08485914766788483,0.08558112382888794,0.08328164368867874,0.07773661613464355,1.0,0.5316588878631592,3.8882603531393376,0.6335318088531494,0.6335318088531494,0.08485914766788483,0.0,0.25,0.08485914766788483,0.05,0.0018762702820822597,1.0,0.0,0.05,1.0,0.0,0.025361035019159317,1.0,0.9924091100692749,0.0,5.0,0.0018762702820822597,0.016550157219171524,0.3125,0.9915638566017151,1.0713309049606323,0.0015774993225932121,0.0012057647109031677,0.11175858974456787,0.07942387461662292,0.1268051713705063,region,1.0,0.75,0.05,0.25555557012557983,0.06790123879909515,0.6765432357788086,551.300048828125,outer,1.0,0.75,0.05,0.104314424097538,0.039901554584503174,0.005562011618167162,0.08485914766788483,0.08328164368867874,0.08558112382888794,0.07773661613464355
80,saturation,0.633182168006897,0.6379618048667908,0.633182168006897,1.0,-0.012675751000642776,0.04034595936536789,-0.0008123440202325583,0.0019407498184591532,-0.012675751000642776,0.04034595936536789,0.04034595936536789,null,null,null,null,log_ratio,1e-06,1.0,0.06207437068223953,0.06288671493530273,0.05094291269779205,0.049002163112163544,1.0,0.5284221172332764,2.6921866295955312,0.6367617845535278,0.6367617845535278,0.06207437068223953,0.0,0.25,0.06207437068223953,0.05,0.00047586290747858584,1.0,0.0,0.05,1.0,0.0,0.02276224084198475,1.0,0.9925064444541931,0.0,5.0,0.00047586290747858584,0.007613806519657373,0.0625,0.9870824217796326,1.0396053791046143,0.01113145612180233,0.0002821013331413269,0.157228022813797,0.11123757809400558,0.2212655395269394,region,1.0,0.75,0.05,0.23607254028320312,0.06300154328346252,0.7009259462356567,515.7593994140625,outer,1.0,0.75,0.05,0.07760439068078995,0.028093483299016953,0.0032566457521170378,0.06207437068223953,0.05094291269779205,0.06288671493530273,0.049002163112163544
90,saturation,0.6450686454772949,0.6498194336891174,0.6450686454772949,1.0,-0.015119234099984169,0.014566772617399693,-0.0005977118853479624,0.00046974874567240477,-0.015119234099984169,0.014566772617399693,0.014566772617399693,null,null,null,null,log_ratio,1e-06,1.0,0.04110720753669739,0.041704922914505005,0.033333517611026764,0.032863765954971313,0.75,0.5234339237213135,4.29910431270159,0.6522420048713684,0.6522420048713684,0.04110720753669739,0.0,0.25,0.04110720753669739,0.05,0.005118019413203001,1.0,0.0,0.05,1.0,0.0,0.01876092702150345,1.0,0.9926537275314331,0.0,5.0,0.005118019413203001,0.027445845305919647,0.3125,0.9856680035591125,1.014293909072876,0.0077736941166222095,-3.199093043804169e-05,0.1461745649576187,0.08528939634561539,0.21924394369125366,region,1.0,0.75,0.05,0.20370371639728546,0.055555559694767,0.7407407760620117,457.5,outer,1.0,0.75,0.05,0.05396602675318718,0.013090711086988449,0.0019023728091269732,0.04110720753669739,0.033333517611026764,0.041704922914505005,0.032863765954971313
