step,global_step,loss,dpo_loss,implicit_acc,win_gap,lose_gap,raw_win_gap,raw_lose_gap,norm_win_gap,norm_lose_gap,norm_lose_gap_clipped,adaptive_norm_win_gap,adaptive_norm_lose_gap,adaptive_norm_lose_gap_clipped,adaptive_norm_mode,gap_normalization,gap_eps,lose_gap_clip_tau,mse_w,ref_mse_w,mse_l,ref_mse_l,loser_dominant_ratio,sigma_term,grad_norm,total_loss,anchored_total_loss,sft_loss,sft_reg_weight,lose_gap_weight,winner_abs_reg,winner_abs_reg_weight,winner_gap_reg,winner_gap_reg_weight,winner_gap_reg_margin,relu_win_gap_mean,relu_win_gap_max,win_gap_positive_ratio,mse_w_over_ref_mse_w,mse_l_over_ref_mse_l,reward_margin,kl_divergence,inside_term_mean,inside_term_min,inside_term_max,loss_region_mode,region_mask_weight,region_boundary_weight,region_outside_weight,mask_area_ratio,boundary_area_ratio,outside_area_ratio,region_weight_sum,boundary_mode,mask_weight,boundary_weight,outside_weight,mask_region_mse,boundary_region_mse,outside_region_mse,region_weighted_mse_w,region_weighted_mse_l,region_weighted_ref_mse_w,region_weighted_ref_mse_l,L_base,L_prop,L_gen,L_boundary,lambda_prop,lambda_gen,lambda_boundary_extra,exp18_extra_loss,m_w,m_l,m_w_ref,m_l_ref,propagation_coverage,generate_area_ratio,prop_conf_mean,prop_conf_p10,prop_conf_p50,prop_conf_p90,avg_num_sources_used,propagated_region_psnr,tau_conf,confidence_mode,propagation_target_mode
1,1,0.7694565653800964,0.6947661638259888,0.0,0.0006638233317062259,9.908046922646463e-05,1.925087417475879e-06,8.9290551841259e-07,0.0006638233317062259,9.908046922646463e-05,9.908046922646463e-05,null,null,null,null,log_ratio,1e-06,1.0,0.0029201903380453587,0.002918265527114272,0.005582971498370171,0.005582078825682402,0.0,0.4992011487483978,32.04081789724341,0.7694565653800964,0.7694565653800964,0.0029201903380453587,0.0,0.25,0.0029201903380453587,0.05,0.0014128650072962046,1.0,0.0,0.0014128650072962046,0.005315812770277262,0.5625,1.0006595849990845,1.0001598596572876,-0.002662781160324812,7.043126970529556e-07,-0.0031952662393450737,-0.0031952662393450737,-0.0031952662393450737,region,1.0,0.75,0.05,0.21796874701976776,0.04843750223517418,0.688671886920929,825.4000244140625,both,1.0,0.75,0.05,0.0034848584327846766,0.0025151243899017572,0.0001694624515948817,0.0029201903380453587,0.005582971498370171,0.002918265527114272,0.005582078825682402,0.6963250637054443,0.31534531712532043,0.3638652563095093,0.23403683304786682,0.1,0.05,0.1,0.07313147932291031,0.0029201903380453587,0.005582971498370171,0.002918265527114272,0.005582078825682402,0.0046433876268565655,0.9953566193580627,0.0068424418568611145,0.0,0.0,0.0,0.04506175220012665,32.93147659301758,0.5,flow_agreement,latent_x0
10,10,0.7373006939888,0.6788699626922607,1.0,-0.003915342502295971,0.007370464503765106,-0.00024131336249411106,0.0013390453532338142,-0.003915342502295971,0.007370464503765106,0.007370464503765106,null,null,null,null,log_ratio,1e-06,1.0,0.06113249063491821,0.06137380003929138,0.18125459551811218,0.17991554737091064,1.0,0.5071969628334045,12.304003981332313,0.7373006939888,0.7373006939888,0.06113249063491821,0.0,0.25,0.06113249063491821,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.9960681796073914,1.007442593574524,-0.12012210488319397,0.0002744346857070923,0.028789792209863663,0.028789792209863663,0.028789792209863663,region,1.0,0.75,0.05,0.18256835639476776,0.0535888671875,0.712231457233429,760.5250854492188,both,1.0,0.75,0.05,0.07854945212602615,0.046478621661663055,0.004357488825917244,0.06113249063491821,0.18125459551811218,0.06137380003929138,0.17991554737091064,0.6819266080856323,0.28795933723449707,0.2257508635520935,0.15290617942810059,0.1,0.05,0.1,0.05537409335374832,0.06113249063491821,0.18125459551811218,0.06137380003929138,0.17991554737091064,0.007714762352406979,0.9922852516174316,0.01089868601411581,0.0,0.0,0.0,0.07193602621555328,29.970355987548828,0.5,flow_agreement,latent_x0
20,20,0.7265023589134216,0.6441491842269897,1.0,-0.014690667390823364,0.02201768383383751,-0.0002632339019328356,0.0006246874108910561,-0.014690667390823364,0.02201768383383751,0.02201768383383751,null,null,null,null,log_ratio,1e-06,1.0,0.017891760915517807,0.018154993653297424,0.028721889480948448,0.028097201138734818,1.0,0.5252224206924438,12.33144402503492,0.7265023589134216,0.7265023589134216,0.017891760915517807,0.0,0.25,0.017891760915517807,0.05,4.0302093111677095e-05,1.0,0.0,4.0302093111677095e-05,0.0006448334897868335,0.0625,0.9855008125305176,1.0222331285476685,-0.010830129496753216,9.036343544721603e-05,0.10097544640302658,0.10097544640302658,0.10097544640302658,region,1.0,0.75,0.05,0.19609375298023224,0.05234375223517418,0.702343761920929,786.9000244140625,both,1.0,0.75,0.05,0.02416151389479637,0.009728911332786083,0.0005874152411706746,0.017891760915517807,0.028721889480948448,0.018154993653297424,0.028097201138734818,0.6450840830802917,0.3900083303451538,0.4250412881374359,0.21165360510349274,0.1,0.05,0.1,0.08141826093196869,0.017891760915517807,0.028721889480948448,0.018154993653297424,0.028097201138734818,0.039012737572193146,0.9609872698783875,0.04399919882416725,0.0,0.0,0.0,0.2830219864845276,25.039426803588867,0.5,flow_agreement,latent_x0
30,30,0.7490226030349731,0.6627607941627502,1.0,-0.005351233296096325,0.02942192181944847,-3.917529829777777e-05,0.000272826524451375,-0.005351233296096325,0.02942192181944847,0.02942192181944847,null,null,null,null,log_ratio,1e-06,1.0,0.00784365739673376,0.007882832549512386,0.00973864458501339,0.009465819224715233,1.0,0.5158780217170715,13.627464858421806,0.7490226030349731,0.7490226030349731,0.00784365739673376,0.0,0.25,0.00784365739673376,0.05,0.004472427070140839,1.0,0.0,0.004472427070140839,0.03186264634132385,0.4375,0.9950303435325623,1.0288221836090088,-0.0018949877703562379,5.841255187988281e-05,0.06353356689214706,0.06353356689214706,0.06353356689214706,region,1.0,0.75,0.05,0.23664550483226776,0.0548095703125,0.6575927734375,893.046875,both,1.0,0.75,0.05,0.010395812802016735,0.0033269517589360476,0.0003647047560662031,0.00784365739673376,0.00973864458501339,0.007882832549512386,0.009465819224715233,0.6676254272460938,0.44943344593048096,0.3857453465461731,0.17166563868522644,0.1,0.05,0.1,0.0813971757888794,0.00784365739673376,0.00973864458501339,0.007882832549512386,0.009465819224715233,0.01307300478219986,0.9869269728660583,0.018595494329929352,0.0,0.0,0.0,0.20291255414485931,20.826581954956055,0.5,flow_agreement,latent_x0
40,40,0.7469658255577087,0.6642837524414062,1.0,-0.002927278634160757,0.03518463298678398,-0.0006408523768186569,0.008750631473958492,-0.002927278634160757,0.03518463298678398,0.03518463298678398,null,null,null,null,log_ratio,1e-06,1.0,0.21735480427742004,0.21799567341804504,0.24689176678657532,0.23814114928245544,1.0,0.5146501064300537,2.941748579149112,0.7469658255577087,0.7469658255577087,0.21735480427742004,0.0,0.25,0.21735480427742004,0.05,1.7947091691894457e-05,1.0,0.0,1.7947091691894457e-05,0.00017677174764685333,0.125,0.9970601797103882,1.036745548248291,-0.02953696995973587,0.0020274370908737183,0.058617182075977325,0.058617182075977325,0.058617182075977325,region,1.0,0.75,0.05,0.20607911050319672,0.053955078125,0.6897949576377869,815.7781372070312,both,1.0,0.75,0.05,0.2685508728027344,0.17182137072086334,0.014633643440902233,0.21735480427742004,0.24689176678657532,0.21799567341804504,0.23814114928245544,0.6751694083213806,0.3684431314468384,0.3069530427455902,0.1960446685552597,0.1,0.05,0.1,0.07179643213748932,0.21735480427742004,0.24689176678657532,0.21799567341804504,0.23814114928245544,0.044207315891981125,0.9557926654815674,0.04876843839883804,0.0,0.0,0.0,0.2940533757209778,25.41230583190918,0.5,flow_agreement,latent_x0
50,50,0.7072688341140747,0.6308954954147339,1.0,-0.012158932164311409,0.05435621738433838,-0.0005848333239555359,0.004077306017279625,-0.012158932164311409,0.05435621738433838,0.05435621738433838,null,null,null,null,log_ratio,1e-06,1.0,0.04771099239587784,0.048295825719833374,0.07748392224311829,0.07340662181377411,1.0,0.5321406126022339,5.8865014641623805,0.7072688341140747,0.7072688341140747,0.04771099239587784,0.0,0.25,0.04771099239587784,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.9878906011581421,1.0555440187454224,-0.029772937297821045,0.0008731149137020111,0.12873993813991547,0.12873993813991547,0.12873993813991547,region,1.0,0.75,0.05,0.16523437201976776,0.05078125,0.7359375357627869,706.949951171875,both,1.0,0.75,0.05,0.06721267849206924,0.027278944849967957,0.0012966202339157462,0.04771099239587784,0.07748392224311829,0.048295825719833374,0.07340662181377411,0.6332810521125793,0.3415974974632263,0.4128636121749878,0.19184869527816772,0.1,0.05,0.1,0.07398780435323715,0.04771099239587784,0.07748392224311829,0.048295825719833374,0.07340662181377411,0.06971153616905212,0.9302884340286255,0.06788059324026108,0.0,0.0,0.06617647409439087,0.3797333240509033,30.743961334228516,0.5,flow_agreement,latent_x0
60,60,0.7266420722007751,0.6467716693878174,1.0,-0.006588554475456476,0.05006463825702667,-0.0002537360414862633,0.004307277034968138,-0.006588554475456476,0.05006463825702667,0.05006463825702667,null,null,null,null,log_ratio,1e-06,1.0,0.03795131295919418,0.03820504620671272,0.08787935972213745,0.08357208967208862,1.0,0.5238627791404724,6.664175220590355,0.7266420722007751,0.7266420722007751,0.03795131295919418,0.0,0.25,0.03795131295919418,0.05,0.002154845744371414,1.0,0.0,0.002154845744371414,0.013800442218780518,0.25,0.9933586716651917,1.0515395402908325,-0.049928054213523865,0.001013386994600296,0.09552356600761414,0.09552356600761414,0.09552356600761414,region,1.0,0.75,0.05,0.2161865234375,0.05307617411017418,0.680957019329071,838.08447265625,both,1.0,0.75,0.05,0.0488615408539772,0.023376476019620895,0.001716366270557046,0.03795131295919418,0.08787935972213745,0.03820504620671272,0.08357208967208862,0.6508240699768066,0.40884000062942505,0.3379598557949066,0.18036004900932312,0.1,0.05,0.1,0.0758180022239685,0.03795131295919418,0.08787935972213745,0.03820504620671272,0.08357208967208862,0.026252983137965202,0.9737470149993896,0.032120756804943085,0.0,0.0,0.0,0.30186331272125244,23.777761459350586,0.5,flow_agreement,latent_x0
70,70,0.7134343385696411,0.6288957595825195,1.0,-0.009882230311632156,0.06766032427549362,-0.0004221344133839011,0.004725457634776831,-0.009882230311632156,0.06766032427549362,0.06766032427549362,null,null,null,null,log_ratio,1e-06,1.0,0.041155532002449036,0.04157765954732895,0.0716293603181839,0.06690390408039093,1.0,0.5334466099739075,7.556037550196665,0.7134343385696411,0.7134343385696411,0.041155532002449036,0.0,0.25,0.041155532002449036,0.05,0.00104203587397933,1.0,0.0,0.00104203587397933,0.007848378270864487,0.1875,0.9898472428321838,1.0706305503845215,-0.030473830178380013,0.0010758321732282639,0.13398656249046326,0.13398656249046326,0.13398656249046326,region,1.0,0.75,0.05,0.20781250298023224,0.04921875149011612,0.6968750357627869,804.2000732421875,both,1.0,0.75,0.05,0.053830835968256,0.023662934079766273,0.0014456585049629211,0.041155532002449036,0.0716293603181839,0.04157765954732895,0.06690390408039093,0.6319955587387085,0.3849773705005646,0.4138857424259186,0.22246745228767395,0.1,0.05,0.1,0.08143877238035202,0.041155532002449036,0.0716293603181839,0.04157765954732895,0.06690390408039093,0.04461538419127464,0.9553846120834351,0.04775216802954674,0.0,0.0,0.0,0.3276614844799042,25.87151527404785,0.5,flow_agreement,latent_x0
80,80,0.7553725242614746,0.6655682325363159,1.0,-0.007506219670176506,0.01515253633260727,-0.00040370761416852474,0.0006683249957859516,-0.007506219670176506,0.01515253633260727,0.01515253633260727,null,null,null,null,log_ratio,1e-06,1.0,0.06002678722143173,0.06043048948049545,0.045084644109010696,0.044416315853595734,1.0,0.5141142010688782,6.7250760933189655,0.7553725242614746,0.7553725242614746,0.06002678722143173,0.0,0.25,0.06002678722143173,0.05,0.0014770582783967257,1.0,0.0,0.0014770582783967257,0.014884722419083118,0.1875,0.993319571018219,1.0150469541549683,0.014942141249775887,6.615743041038513e-05,0.05647176876664162,0.05647176876664162,0.05647176876664162,region,1.0,0.75,0.05,0.20742188394069672,0.052734375,0.6898437738418579,816.550048828125,both,1.0,0.75,0.05,0.08136153221130371,0.028511375188827515,0.0021294509060680866,0.06002678722143173,0.045084644109010696,0.06043048948049545,0.044416315853595734,0.6700466275215149,0.4412132203578949,0.42628103494644165,0.198905348777771,0.1,0.05,0.1,0.08532591164112091,0.06002678722143173,0.045084644109010696,0.06043048948049545,0.044416315853595734,0.021054627373814583,0.9789453744888306,0.02553529292345047,0.0,0.0,0.0,0.27663880586624146,23.705169677734375,0.5,flow_agreement,latent_x0
90,90,0.7240385413169861,0.6570106744766235,1.0,-0.006778564769774675,0.03181297332048416,-0.00222771055996418,0.008591104298830032,-0.006778564769774675,0.03181297332048416,0.03181297332048416,null,null,null,null,log_ratio,1e-06,1.0,0.32766175270080566,0.3298894762992859,0.2749846875667572,0.26639360189437866,1.0,0.5184063911437988,4.176509291329318,0.7240385413169861,0.7240385413169861,0.32766175270080566,0.0,0.25,0.32766175270080566,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.9932470321655273,1.0322495698928833,0.05267706140875816,0.0015908479690551758,0.07365904003381729,0.07365904003381729,0.07365904003381729,region,1.0,0.75,0.05,0.19804687798023224,0.05585937574505806,0.694140613079071,802.8500366210938,both,1.0,0.75,0.05,0.4085150361061096,0.2579072415828705,0.028804749250411987,0.32766175270080566,0.2749846875667572,0.3298894762992859,0.26639360189437866,0.6733937859535217,0.2569427490234375,0.22079505026340485,0.13910749554634094,0.1,0.05,0.1,0.050644777715206146,0.32766175270080566,0.2749846875667572,0.3298894762992859,0.26639360189437866,0.02216796949505806,0.977832019329071,0.02374454401433468,0.0,0.0,0.0,0.13444946706295013,26.20345687866211,0.5,flow_agreement,latent_x0
