candidate,fresh,metric,candidate_value,fresh_value,delta
candidate_s2_1000,fresh_s2_1000,PSNR,32.89576658043962,32.864029200604456,0.03173737983516389
candidate_s2_1000,fresh_s2_1000,SSIM,0.9719036733879028,0.9717116574214626,0.00019201596644025098
candidate_s2_1000,fresh_s2_1000,LPIPS,0.015415906756146189,0.015475819780452487,-5.9913024306298274e-05
candidate_s2_1000,fresh_s2_1000,TC,0.9710739845296612,0.9714767311966938,-0.0004027466670325497
candidate_s2_1000,fresh_s2_1000,Ewarp,7.125096993379133,7.084760603535435,0.040336389843697695
candidate_s2_1000,fresh_s2_1000,VFID,0.19266212088169832,0.19078483871449592,0.0018772821672023987
candidate_s2_1000,fresh_s2_1000,strict_mask_PSNR,21.252316489894444,21.22057911005929,0.031737379835153234
candidate_s2_1000,fresh_s2_1000,mask_region_SSIM,0.80598248803691,0.8021894661342427,0.003793021902667282
candidate_s2_1000,fresh_s2_1000,boundary_PSNR,26.401218694524015,26.39182349165797,0.009395202866045338
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,PSNR,32.7851036448769,32.77342851000302,0.011675134873875948
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,SSIM,0.971211588877658,0.9711739652660514,3.762361160664085e-05
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,LPIPS,0.015456077531174135,0.014804473633412273,0.000651603897761862
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,TC,0.9715685115689817,0.9716342320131219,-6.572044414021594e-05
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,Ewarp,7.101805303245784,7.152522425774647,-0.05071712252886318
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,VFID,0.18318635147615936,0.18605960963147128,-0.0028732581553119196
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,strict_mask_PSNR,21.141653554331725,21.129978419457842,0.011675134873883053
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,mask_region_SSIM,0.8003756740232135,0.8022301273040405,-0.0018544532808270064
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,boundary_PSNR,26.313287151519486,26.365938565131028,-0.05265141361154235
candidate_s2_1500,fresh_s2_1500,PSNR,32.939265856545646,32.87822973052208,0.06103612602356634
candidate_s2_1500,fresh_s2_1500,SSIM,0.972144093719944,0.971728113309848,0.0004159804100960507
candidate_s2_1500,fresh_s2_1500,LPIPS,0.015575007631171804,0.015596316973872794,-2.130934270098972e-05
candidate_s2_1500,fresh_s2_1500,TC,0.9708647191006206,0.9715106404345968,-0.0006459213339762293
candidate_s2_1500,fresh_s2_1500,Ewarp,7.098128218963013,7.126358683555104,-0.028230464592090776
candidate_s2_1500,fresh_s2_1500,VFID,0.1947109020662463,0.18931526688157474,0.0053956351846715656
candidate_s2_1500,fresh_s2_1500,strict_mask_PSNR,21.295815766000477,21.2347796399769,0.061036126023577
candidate_s2_1500,fresh_s2_1500,mask_region_SSIM,0.8065081349028766,0.8025889062850369,0.003919228617839776
candidate_s2_1500,fresh_s2_1500,boundary_PSNR,26.466917285726275,26.446216307980254,0.020700977746020754
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,PSNR,32.972659971912655,32.85860468334063,0.1140552885720254
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,SSIM,0.9717642328118775,0.9715474372202871,0.00021679559159037964
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,LPIPS,0.016070920465087207,0.01553438851959072,0.0005365319454964865
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,TC,0.9709799173085587,0.9712344867250193,-0.00025456941646062603
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,Ewarp,7.079958801319741,7.115542103242858,-0.03558330192311754
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,VFID,0.19695343592875325,0.19870627826981035,-0.0017528423410571037
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,strict_mask_PSNR,21.329209881367476,21.215154592795447,0.11405528857202896
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,mask_region_SSIM,0.8030955149090238,0.8009417948268229,0.0021537200822008273
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,boundary_PSNR,26.43436342642932,26.415382713116934,0.01898071331238782
candidate_s2_2000,fresh_s2_2000,PSNR,32.91264949533662,32.90239429213936,0.010255203197260698
candidate_s2_2000,fresh_s2_2000,SSIM,0.9718038513172611,0.9713239633316303,0.00047988798563081136
candidate_s2_2000,fresh_s2_2000,LPIPS,0.015716976448893548,0.015577473641023971,0.00013950280786957647
candidate_s2_2000,fresh_s2_2000,TC,0.9718102509042491,0.9715292391569718,0.0002810117472773488
candidate_s2_2000,fresh_s2_2000,Ewarp,7.09906826544877,7.09040789105727,0.008660374391499914
candidate_s2_2000,fresh_s2_2000,VFID,0.19307731753544122,0.20034973456801408,-0.007272417032572864
candidate_s2_2000,fresh_s2_2000,strict_mask_PSNR,21.269199404791447,21.258944201594186,0.010255203197260698
candidate_s2_2000,fresh_s2_2000,mask_region_SSIM,0.803719413602403,0.8015354886132334,0.002183924989169528
candidate_s2_2000,fresh_s2_2000,boundary_PSNR,26.427846353451983,26.44968863004167,-0.021842276589687515
candidate_stage1_2000_sft_s2,fresh_stage1_2000_sft_s2,PSNR,32.879839589113004,32.90847917052933,-0.028639581416328497
candidate_stage1_2000_sft_s2,fresh_stage1_2000_sft_s2,SSIM,0.9713766243792586,0.9715418898639299,-0.0001652654846712176
candidate_stage1_2000_sft_s2,fresh_stage1_2000_sft_s2,LPIPS,0.01556342492365123,0.015433470228454099,0.0001299546951971306
candidate_stage1_2000_sft_s2,fresh_stage1_2000_sft_s2,TC,0.9714697507671687,0.9712709385934084,0.0001988121737602766
candidate_stage1_2000_sft_s2,fresh_stage1_2000_sft_s2,Ewarp,7.109080519193136,7.129670515018717,-0.020589995825581298
candidate_stage1_2000_sft_s2,fresh_stage1_2000_sft_s2,VFID,0.18283606558959953,0.1788265616617819,0.004009503927817626
candidate_stage1_2000_sft_s2,fresh_stage1_2000_sft_s2,strict_mask_PSNR,21.236389498567828,21.265029079984156,-0.028639581416328497
