label,model_label,rows,frames_mean,frames_median,whole_video_psnr_mean,whole_video_psnr_median,whole_video_ssim_mean,whole_video_ssim_median,mask_region_psnr_mean,mask_region_psnr_median,mask_region_ssim_mean,mask_region_ssim_median,mask_bbox_psnr_mean,mask_bbox_psnr_median,mask_bbox_ssim_mean,mask_bbox_ssim_median,strict_mask_pixel_psnr_mean,strict_mask_pixel_psnr_median,boundary_pixel_psnr_mean,boundary_pixel_psnr_median,outside_diff_mean_mean,outside_diff_mean_median,outside_diff_max_mean,outside_diff_max_median,outside_region_diff_mean_mean,outside_region_diff_mean_median,whole_video_lpips_mean,whole_video_lpips_median,ewarp_mean,ewarp_median
candidate_s2_1000,candidate_s2_1000,50,24.0,24.0,32.82064432485718,32.866620911867415,0.97141265274359,0.9800353240536075,23.974177395192413,23.44637887546943,0.8013117083071113,0.8204296112365721,23.974177395192413,23.44637887546943,0.8013117083071113,0.8204296112365721,21.177194234312,20.67535940095081,26.367516445240934,25.772774833182464,0.0,0.0,0.0,0.0,0.0,0.0,0.015786708494221483,0.01354490905456866,7.115017013350988,4.933535926165464
candidate_s2_1500,candidate_s2_1500,50,24.0,24.0,32.96292351995774,32.82079459928028,0.9719076481539632,0.9778271616461691,24.116456590292977,23.456426411521054,0.806310393574148,0.83559172551122,24.116456590292977,23.456426411521054,0.806310393574148,0.83559172551122,21.319473429412568,20.80734916018907,26.409807361709795,25.91036467823924,0.0,0.0,0.0,0.0,0.0,0.0,0.015575602485138612,0.01383831798254202,7.133734824652176,4.91283478660752
candidate_s2_2000,candidate_s2_2000,50,24.0,24.0,32.942394465783984,32.920398288959674,0.9720177381692835,0.9789232260602423,24.095927536119223,23.510841054571195,0.8059228226516687,0.8356317288769344,24.095927536119223,23.510841054571195,0.8059228226516687,0.8356317288769344,21.29894437523881,20.78416148371222,26.41087214183181,25.87543318182663,0.0,0.0,0.0,0.0,0.0,0.0,0.015520220987188318,0.01332864733800913,7.083796703600851,4.869625969465984
candidate_stage1_1000_sft_s2,candidate_stage1_1000_sft_s2,50,24.0,24.0,33.003535304721396,33.030863499242095,0.9725589806250126,0.9798447175224938,24.157068375056625,23.431903632644435,0.8110118691795957,0.8447669637032968,24.157068375056625,23.431903632644435,0.8110118691795957,0.8447669637032968,21.36008521417621,20.60219867432742,26.528381049536154,26.060046906754472,0.0,0.0,0.0,0.0,0.0,0.0,0.014645486280399684,0.013135671635003138,7.140695131738144,4.95688405657268
candidate_stage1_1500_sft_s2,candidate_stage1_1500_sft_s2,50,24.0,24.0,32.79955092869821,32.79447458457729,0.9708357175542206,0.9805323279042856,23.953083999033442,23.393673646643176,0.7972629285108053,0.8336327709444049,23.953083999033442,23.393673646643176,0.7972629285108053,0.8336327709444049,21.156100838153034,20.60134121837327,26.373543072251973,25.84151716476286,0.0,0.0,0.0,0.0,0.0,0.0,0.015347149214940146,0.013694080194303144,7.121358982378455,4.939619380899746
candidate_stage1_2000_sft_s2,candidate_stage1_2000_sft_s2,50,24.0,24.0,32.83357641842925,32.77284878456596,0.9709198324908503,0.9793589589822653,23.98710948876449,23.582787031828907,0.8003045828891402,0.8325137859932903,23.98710948876449,23.582787031828907,0.8003045828891402,0.8325137859932903,21.190126327884077,20.979765421115527,26.38423698879987,25.803315730525732,0.0,0.0,0.0,0.0,0.0,0.0,0.015803307025538137,0.013249336111281687,7.1105603450585315,4.9157368839192
fresh_s2_1000,fresh_s2_1000,50,24.0,24.0,32.813556054914926,32.48071228551572,0.9709061953049166,0.9790089347459539,23.96708912525016,23.552871064410084,0.7986912135940483,0.8216092515629163,23.96708912525016,23.552871064410084,0.7986912135940483,0.8216092515629163,21.170105964369753,20.913519256143353,26.392552128127384,25.938383390810067,0.0,0.0,0.0,0.0,0.0,0.0,0.015848616766355312,0.013677571968097862,7.142599570494063,4.879789679999584
fresh_s2_1500,fresh_s2_1500,50,24.0,24.0,32.95347909592827,33.06006830408456,0.972217362847916,0.9802904908306571,24.107012166263512,23.654383425637352,0.8080523054404051,0.8448894511971485,24.107012166263512,23.654383425637352,0.8080523054404051,0.8448894511971485,21.3100290053831,20.720871602794467,26.409746387777595,25.989520433625117,0.0,0.0,0.0,0.0,0.0,0.0,0.01523634334812717,0.01322336073887224,7.08886048209894,4.893463899624413
fresh_s2_2000,fresh_s2_2000,50,24.0,24.0,32.83900564767321,32.55561857565655,0.9711850990733945,0.9789361116887623,23.99253871800844,23.62487599946934,0.7985993936785397,0.8095074255427984,23.99253871800844,23.62487599946934,0.7985993936785397,0.8095074255427984,21.19555555712803,20.957221517090183,26.41036921496469,25.83752737696457,0.0,0.0,0.0,0.0,0.0,0.0,0.015339569000255626,0.01334274294398104,7.11762627687953,4.885340195513614
fresh_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,50,24.0,24.0,32.93300401740874,32.87762682128956,0.9720830487373142,0.9789542031119829,24.086537087743974,23.535117625958616,0.8063580781549474,0.8437470143986502,24.086537087743974,23.535117625958616,0.8063580781549474,0.8437470143986502,21.289553926863565,20.81954798573712,26.463558437745533,26.092412676143105,0.0,0.0,0.0,0.0,0.0,0.0,0.015036639775886823,0.013235418184194714,7.1256949825455305,4.94399501780129
fresh_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,50,24.0,24.0,32.89306540354077,32.809900391913054,0.971446754142352,0.9786020495342025,24.046598473876003,23.529925020174282,0.801927499920466,0.8390428713576135,24.046598473876003,23.529925020174282,0.801927499920466,0.8390428713576135,21.249615312995594,20.84187831517835,26.431659590785287,25.98071790763276,0.0,0.0,0.0,0.0,0.0,0.0,0.015344506543284904,0.013764090506204713,7.123456367433233,4.893909755122403
fresh_stage1_2000_sft_s2,fresh_stage1_2000_sft_s2,50,24.0,24.0,32.878557455286995,32.91104249831752,0.9716823042614124,0.9787776672260023,24.03209052562223,23.38752532593265,0.8024279921457661,0.8192823144343448,24.03209052562223,23.38752532593265,0.8024279921457661,0.8192823144343448,21.235107364741815,20.711075609480705,26.40159331609519,26.03184033668755,0.0,0.0,0.0,0.0,0.0,0.0,0.015340833815668399,0.013387706693417083,7.11322304478887,4.923121006551968
sft48000_baseline,sft48000_baseline,50,24.0,24.0,32.68966828417093,32.55991489826049,0.9704829868934012,0.9767252502069504,23.843201354506153,23.381945597879415,0.795615008190446,0.8189453327777036,23.843201354506153,23.381945597879415,0.795615008190446,0.8189453327777036,21.046218193625744,20.52800672028437,26.081340482869823,25.501676607121993,0.0,0.0,0.0,0.0,0.0,0.0,0.01676730976245987,0.014396607778811207,7.1404910674217446,4.882128241107516
