beta_dpo,ema_decay,ema_step_max_delta,eta_dpo,finite,grad_norm,loser_policy_mse,loser_ref_mse,loss,lr,margin,policy_delta_norm,reference_delta_norm,row_index,sample_id,step,timestep,utility_max,utility_mean,utility_min,variant,winner_policy_mse,winner_ref_mse
5000.0,0.9999,1.4551915228366852e-11,0.01,True,0.4629662674357285,0.2554605007171631,0.2554605007171631,-0.1128900796175003,1e-07,0.0,0.0001330922004544742,1.4716173283453878e-10,0,youtubevos_000000_003234408d,1,500,0.5,0.5,0.5,linear_ema,0.029680348932743073,0.029680348932743073
5000.0,0.9999,2.9103830456733704e-11,0.01,True,0.4775328154719161,0.25544846057891846,0.2554605007171631,-0.11636573076248169,1e-07,-1.256261020898819e-05,0.0002638368375326791,5.1501815392328e-10,0,youtubevos_000000_003234408d,2,500,0.8285706043243408,0.51256263256073,0.37290799617767334,linear_ema,0.02968086116015911,0.029680348932743073
5000.0,0.9999,5.820766091346741e-11,0.01,True,0.470937017023596,0.255453884601593,0.2554605007171631,-0.1148226261138916,1e-07,-8.28225165605545e-06,0.00039458718142170585,1.1863831076122586e-09,0,youtubevos_000000_003234408d,3,500,0.751084566116333,0.5082822442054749,0.39616870880126953,linear_ema,0.029681988060474396,0.029680348932743073
5000.0,0.9999,5.820766091346741e-11,0.01,True,0.46453422062878774,0.2554556727409363,0.2554605007171631,-0.11321745812892914,1e-07,1.4901161193847656e-08,0.0005245115172699472,2.198569537994652e-09,0,youtubevos_000000_003234408d,4,500,0.8586262464523315,0.49998512864112854,0.3207986354827881,linear_ema,0.029675506055355072,0.029680348932743073
5000.0,0.9999,5.820766091346741e-11,0.01,True,0.48926791134191094,0.2554278075695038,0.2554605007171631,-0.11908116936683655,1e-07,-2.57762148976326e-05,0.0006547606383023189,3.5416167143945774e-09,0,youtubevos_000000_003234408d,5,500,0.6691877841949463,0.525776207447052,0.4451488256454468,linear_ema,0.029673419892787933,0.029680348932743073
5000.0,0.9999,1.1641532182693481e-10,0.01,True,0.4762705321536705,0.25544703006744385,0.2554605007171631,-0.1162671446800232,1e-07,-1.2798234820365906e-05,0.000784670803288791,5.269692007588143e-09,0,youtubevos_000000_003234408d,6,500,0.7707988023757935,0.5127982497215271,0.3285025358200073,linear_ema,0.029679689556360245,0.029680348932743073
5000.0,0.9999,1.1641532182693481e-10,0.01,True,0.4705124545286164,0.2554560899734497,0.2554605007171631,-0.11457303166389465,1e-07,-6.647780537605286e-06,0.0009138948467915438,7.674461274739019e-09,0,youtubevos_000000_003234408d,7,500,0.8199279308319092,0.5066478252410889,0.2690916061401367,linear_ema,0.02968255989253521,0.029680348932743073
5000.0,0.9999,1.1641532182693481e-10,0.01,True,0.47408473795784545,0.2554458975791931,0.2554605007171631,-0.11549226194620132,1e-07,-1.164991408586502e-05,0.0010427514764640715,1.072688750446907e-08,0,youtubevos_000000_003234408d,8,500,0.8291964530944824,0.5116499066352844,0.2692406177520752,linear_ema,0.02967740222811699,0.029680348932743073
5000.0,0.9999,1.1641532182693481e-10,0.01,True,0.49775458360972635,0.25542742013931274,0.2554665803909302,-0.12127984315156937,1e-07,-3.684684634208679e-05,0.0011715529854954118,1.4279999298695673e-08,0,youtubevos_000000_003234408d,9,500,0.8256797790527344,0.5368468761444092,0.33996152877807617,linear_ema,0.029678020626306534,0.029680348932743073
5000.0,0.9999,1.1641532182693481e-10,0.01,True,0.4876210268134517,0.25543874502182007,0.2554665803909302,-0.11877599358558655,1e-07,-2.4947337806224823e-05,0.0013002275364513564,1.819002953296671e-08,0,youtubevos_000000_003234408d,10,500,0.7804845571517944,0.5249473452568054,0.38788366317749023,linear_ema,0.02967746928334236,0.029680348932743073
