split,sample_id,source_group,noise_index,timestep_index,noise_seed,t,winner_full_residual,winner_mask_residual,winner_boundary_residual,winner_outside_residual,winner_pred_norm,winner_target_norm,winner_noise_norm,winner_z0_norm,loser_full_residual,loser_mask_residual,loser_boundary_residual,loser_outside_residual,loser_pred_norm,loser_target_norm,loser_noise_norm,loser_z0_norm
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,0,0,20260627,0.15,1.4338215589523315,0.1453831046819687,0.6310559511184692,1.4684642553329468,892.3132934570312,756.3175659179688,571.8680419921875,495.32012939453125,1.4362205266952515,0.3517734408378601,0.6846360564231873,1.4662033319473267,885.268798828125,747.8502197265625,571.8680419921875,482.2088928222656
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,0,1,20260627,0.35,0.5856119394302368,0.056217361241579056,0.3470419645309448,0.5979979038238525,791.709716796875,756.3175659179688,571.8680419921875,495.32012939453125,0.6004852652549744,0.1671382337808609,0.4467959403991699,0.6098420023918152,785.2274169921875,747.8502197265625,571.8680419921875,482.2088928222656
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,0,2,20260627,0.55,0.2775271534919739,0.04621577635407448,0.23224696516990662,0.2818000912666321,754.9232788085938,756.3175659179688,571.8680419921875,495.32012939453125,0.2867109477519989,0.1399816870689392,0.31460145115852356,0.28843119740486145,748.3947143554688,747.8502197265625,571.8680419921875,482.2088928222656
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,0,3,20260627,0.75,0.16151882708072662,0.06448543816804886,0.21178129315376282,0.16212880611419678,744.5511474609375,756.3175659179688,571.8680419921875,495.32012939453125,0.16354534029960632,0.13628754019737244,0.2017817497253418,0.1630464792251587,738.24853515625,747.8502197265625,571.8680419921875,482.2088928222656
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,1,0,20269800,0.15,1.429305911064148,0.16011442244052887,0.6091992259025574,1.4640682935714722,891.1917114257812,756.7324829101562,572.9511108398438,495.32012939453125,1.4352607727050781,0.374939888715744,0.6729037761688232,1.4651434421539307,884.8154296875,748.213134765625,572.9511108398438,482.2088928222656
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,1,1,20269800,0.35,0.5855885744094849,0.057081375271081924,0.334579735994339,0.598253607749939,792.2211303710938,756.7324829101562,572.9511108398438,495.32012939453125,0.605766236782074,0.21355096995830536,0.4414253532886505,0.6145222187042236,786.688232421875,748.213134765625,572.9511108398438,482.2088928222656
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,1,2,20269800,0.55,0.2764016091823578,0.041184525936841965,0.22252020239830017,0.28090739250183105,755.7908325195312,756.7324829101562,572.9511108398438,495.32012939453125,0.2888696789741516,0.23786799609661102,0.33364012837409973,0.28853803873062134,749.7669067382812,748.213134765625,572.9511108398438,482.2088928222656
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,1,3,20269800,0.75,0.16091345250606537,0.0616932287812233,0.20906324684619904,0.1616019308567047,745.4124755859375,756.7324829101562,572.9511108398438,495.32012939453125,0.1656707525253296,0.20709510147571564,0.23493169248104095,0.16346842050552368,739.1597290039062,748.213134765625,572.9511108398438,482.2088928222656
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,2,0,20278973,0.15,1.4378252029418945,0.14458851516246796,0.6037870645523071,1.4732160568237305,892.4767456054688,756.8816528320312,572.1763305664062,495.32012939453125,1.4425525665283203,0.3648892939090729,0.6690738201141357,1.4729939699172974,885.621826171875,748.4616088867188,572.1763305664062,482.2088928222656
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,2,1,20278973,0.35,0.5859802961349487,0.05517423152923584,0.3325822353363037,0.5986912846565247,792.0418090820312,756.8816528320312,572.1763305664062,495.32012939453125,0.6015434861183167,0.17064215242862701,0.42308783531188965,0.6112343072891235,786.1395263671875,748.4616088867188,572.1763305664062,482.2088928222656
