step,metric,n,mean_delta,median_delta,win_rate,bootstrap_ci_low,bootstrap_ci_high,prob_improved,leave_one_out_min,leave_one_out_max
step10,whole_video_psnr,32,1.1339281329913733,0.8583109448382018,0.5625,-0.626003345568648,3.0083180397823526,0.8873,0.7002448158716166,1.4007461644223058
step10,whole_video_ssim,32,0.03159970803630218,0.018569091541637717,0.625,0.006407193078948458,0.05841455236330804,0.9921,0.025953152037142144,0.03680901495962039
step10,whole_video_lpips,32,-0.0028438566167059602,-0.001261891493079613,0.53125,-0.017054305228298386,0.01030752443028696,0.6518,-0.005034717481639762,0.0005581985087360178
step10,strict_mask_pixel_psnr,32,1.1356232030135365,0.8453832829803387,0.53125,-0.6698887231826995,3.056466409652988,0.8808,0.6919410482062827,1.4114455479719574
step10,boundary_pixel_psnr,32,5.164665814835957,4.646528177332394,0.90625,3.4422866843710844,7.055457295435928,1.0,4.699954826627956,5.46691766944778
step10,ewarp_mask_region,32,-1.2524629972195573,0.30215014082083735,0.5,-4.313005091202153,1.6988822254605884,0.7842,-1.826733882182296,-0.4829998056608331
step30,whole_video_psnr,32,4.730581969475102,4.376117981568452,0.65625,2.404412848227641,7.390619414753485,1.0,3.963984292523389,5.002531350969758
step30,whole_video_ssim,32,0.08446285662462519,0.06228053247316767,0.875,0.05213215986343281,0.12274388088930568,1.0,0.07315718405917786,0.08904670343639783
step30,whole_video_lpips,32,-0.039019290436824255,-0.028490272768754134,0.90625,-0.058565037644379744,-0.02249978100165264,1.0,-0.04137557656629902,-0.03307634865689761
step30,strict_mask_pixel_psnr,32,4.846569442836903,4.5338266452362035,0.65625,2.4610711606570987,7.570170524005494,1.0,4.061181911301679,5.125889520568885
step30,boundary_pixel_psnr,32,9.266219946002348,7.816549391646964,0.96875,7.207952223230865,11.651372243570115,1.0,8.581734300890686,9.633877287364271
step30,ewarp_mask_region,32,-6.085819404047991,-3.539289721629757,0.90625,-8.933747104570408,-3.2915056347345195,1.0,-6.801533684933343,-5.451087877632642
step50,whole_video_psnr,32,4.816168206842837,5.111761725545794,0.71875,2.6489602239722183,7.234665801635539,1.0,4.121639265040804,5.126012373583843
step50,whole_video_ssim,32,0.08788259709638203,0.06403112011210804,0.9375,0.057976926228872704,0.12248517159290577,1.0,0.07763203542273864,0.09109316228121006
step50,whole_video_lpips,32,-0.04405937481722652,-0.032198564035399835,0.96875,-0.06052648268711464,-0.029993883468430765,1.0,-0.04585042050650309,-0.039347692741322694
step50,strict_mask_pixel_psnr,32,4.9422458497304245,5.2635002691896,0.71875,2.7169467761606354,7.424436326703247,1.0,4.229602442482627,5.262499852989182
step50,boundary_pixel_psnr,32,12.111889141565705,11.172518274273978,1.0,10.35486545727644,14.006566507359231,1.0,11.711156336659219,12.439150915543848
step50,ewarp_mask_region,32,-7.0551224972058195,-3.7933674220198554,1.0,-9.604506778531382,-4.767494419138485,1.0,-7.27883628089895,-6.46633676445258
