model_label,rows,frames_mean,whole_video_psnr_mean,whole_video_ssim_mean,strict_mask_pixel_psnr_mean,boundary_pixel_psnr_mean,whole_video_lpips_mean,tc_mean,ewarp_mean,vfid,eval_dir
F01,16,24.0,29.35228557806697,0.9688799870783602,17.04697428555454,22.910651729690112,0.01792757182920468,0.9761271055625832,12.019572109317739,0.2269682175292167,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/F01_e01f93aa6fd1d630/eval_dev/F01
F02,16,24.0,29.356832844724483,0.9688941632894954,17.051521552212055,22.917449088647377,0.017972663859230426,0.9761493309684423,12.014072676285412,0.22766929624474042,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/F02_49618e0880c07715/eval_dev/F02
F03,16,24.0,29.338366617692145,0.9687423017105352,17.03305532517972,22.899961251949147,0.01800342980156226,0.9761387940658175,12.006760950617203,0.2280376299569844,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/F03_bda53f780b22f565/eval_dev/F03
F04,16,24.0,29.340767474046537,0.9687860819242803,17.03545618153411,22.900142689984968,0.01795201031078856,0.9761702829728955,12.01733929693823,0.22720018538926823,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/F04_19af1de668a0a6b8/eval_dev/F04
F05,16,24.0,29.338527760373854,0.9687750481409161,17.03321646786143,22.895326462478444,0.01795729140394542,0.9761348504411137,12.017715940008044,0.2273567846410658,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/F05_aef3946cf33625d9/eval_dev/F05
F06,16,24.0,29.338728971488816,0.9687607229857766,17.033417678976388,22.897044807520484,0.018000676551916207,0.976128818548244,12.012933315576369,0.22768296278484623,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/F06_33b79ec159a1c548/eval_dev/F06
F07,16,24.0,29.341753896293113,0.9687623132096022,17.03644260378068,22.902082994969195,0.018062867827514612,0.9760698248510776,12.004583488503513,0.22827752789145972,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/F07_3f11efc4954cc22e/eval_dev/F07
F08,16,24.0,29.35178692443649,0.9688347512089348,17.046475631924057,22.911348261507616,0.018061846976706875,0.9761627060563669,12.0055228140779,0.2279377860710614,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/F08_c91c9114f8e50a89/eval_dev/F08
F09,16,24.0,29.34233374783954,0.9687905419156989,17.03702245532711,22.897969807279928,0.018013712423756566,0.9761471753211125,12.01311181340197,0.22760594288421254,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/F09_dc9390775a6b5a84/eval_dev/F09
F10,16,24.0,29.340101663273522,0.9687183715918694,17.034790370761094,22.90314173591435,0.018149861485047342,0.9760953132872996,11.990853866455321,0.22881143285341032,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/F10_fe127d7f24829568/eval_dev/F10
F11,16,24.0,29.347309186442736,0.9688077714222711,17.04199789393031,22.903439076687427,0.018066760398141923,0.9761004896591539,12.006892779462088,0.22762725128332129,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/F11_05ce020e9859c6ff/eval_dev/F11
F12,16,24.0,29.348163769985135,0.9688141401340765,17.042852477472703,22.903992939945972,0.018076215872497414,0.9761174287161102,12.005444907829414,0.22779065554626365,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/F12_996719816a31da5a/eval_dev/F12
