recipe,tensor,module_group,shape,numel,mean_abs_delta,max_abs_delta,delta_norm,param_norm,delta_param_norm_ratio,zero_delta
ema,blocks.6.attn1.to_out.0.bias,blocks.6,1536,1536,3.775737056344042e-08,3.814697265625e-06,1.0334231927994574e-05,0.43020965754541474,2.4021385263485464e-05,False
ema,blocks.6.attn1.to_out.0.weight,blocks.6,1536x1536,2359296,8.061817879934097e-09,4.76837158203125e-06,0.00018907025507861492,53.91442646323315,3.506858321261148e-06,False
ema,blocks.6.attn1.to_q.bias,blocks.6,1536,1536,1.4668330550193787e-08,3.814697265625e-06,6.089016336976115e-06,1.3605980468379353,4.475249946979322e-06,False
ema,blocks.6.attn1.to_q.weight,blocks.6,1536x1536,2359296,7.489338038624282e-09,4.76837158203125e-06,0.00017754584925421975,57.113863537700944,3.108629643606904e-06,False
ema,blocks.6.attn1.to_v.bias,blocks.6,1536,1536,7.246853783726692e-08,4.76837158203125e-06,1.4785586619736456e-05,0.1514352952873023,9.763633102565473e-05,False
ema,blocks.6.attn1.to_v.weight,blocks.6,1536x1536,2359296,7.682107394657578e-09,5.245208740234375e-06,0.00018465858529307275,53.960226599667834,3.4221239777782186e-06,False
ema,blocks.6.ffn.net.0.proj.bias,blocks.6,8960,8960,2.494614070869261e-09,3.7550926208496094e-06,6.3082442815924945e-06,2.098189927165552,3.0065172842152115e-06,False
ema,blocks.6.ffn.net.0.proj.weight,blocks.6,8960x1536,13762560,9.024764047182998e-09,6.67572021484375e-06,0.00048146154238872506,114.27105505523916,4.213328932300311e-06,False
ema,blocks.6.ffn.net.2.bias,blocks.6,1536,1536,2.6600901037454605e-08,4.5299530029296875e-06,9.717065381065449e-06,0.46585575504742155,2.0858528151177282e-05,False
ema,blocks.6.ffn.net.2.weight,blocks.6,1536x8960,13762560,1.0841755937462949e-08,5.245208740234375e-06,0.000537063503287726,102.05105569640129,5.262694242825551e-06,False
ema,blocks.6.scale_shift_table,blocks.6,1x6x1536,9216,2.027581103902776e-06,4.425644874572754e-06,0.00020996039642525295,4.776446354096272,4.395744887726988e-05,False
ema,blocks.7.attn1.norm_k.weight,blocks.7,1536,1536,0.0,0.0,0.0,52.04468670347147,0.0,True
ema,blocks.7.attn1.norm_q.weight,blocks.7,1536,1536,0.0,0.0,0.0,52.05801676375119,0.0,True
ema,blocks.7.attn1.to_k.bias,blocks.7,1536,1536,4.3461718668424965e-09,1.430511474609375e-06,2.6117446780451113e-06,2.562249241166566,1.0193171827636063e-06,False
ema,blocks.7.attn1.to_k.weight,blocks.7,1536x1536,2359296,7.306173888110834e-09,4.76837158203125e-06,0.00017435047347981136,57.703533287886714,3.0214869618115476e-06,False
ema,blocks.7.attn1.to_out.0.bias,blocks.7,1536,1536,2.64650825698709e-08,3.0994415283203125e-06,8.710031452130693e-06,0.5241268230855046,1.6618175350840885e-05,False
ema,blocks.7.attn1.to_out.0.weight,blocks.7,1536x1536,2359296,8.299186227134214e-09,5.245208740234375e-06,0.00019282953797762465,54.33989977016198,3.5485810388539535e-06,False
ema,blocks.7.attn1.to_q.bias,blocks.7,1536,1536,1.4435499906539917e-08,2.6226043701171875e-06,6.29217301387627e-06,1.347111334721587,4.670863388713174e-06,False
ema,blocks.7.attn1.to_q.weight,blocks.7,1536x1536,2359296,7.362517706610561e-09,5.245208740234375e-06,0.00017558407440199244,56.699424221338,3.0967523359066286e-06,False
ema,blocks.7.attn1.to_v.bias,blocks.7,1536,1536,5.8712128492288684e-08,4.76837158203125e-06,1.3236392071484084e-05,0.16125373349007585,8.208425184906876e-05,False
ema,blocks.7.attn1.to_v.weight,blocks.7,1536x1536,2359296,7.653700784260309e-09,5.245208740234375e-06,0.00018686405015879638,55.003952716628696,3.397284030140266e-06,False
ema,blocks.7.ffn.net.0.proj.bias,blocks.7,8960,8960,3.166496842510469e-09,2.384185791015625e-06,6.410755948900581e-06,2.2246601745324788,2.881678749090272e-06,False
ema,blocks.7.ffn.net.0.proj.weight,blocks.7,8960x1536,13762560,8.900564729685811e-09,5.245208740234375e-06,0.00047643188300841555,115.56423656753633,4.122658507158331e-06,False
ema,blocks.7.ffn.net.2.bias,blocks.7,1536,1536,2.2312937275614786e-08,2.86102294921875e-06,8.116962188735098e-06,0.4941204202614894,1.6427093185954874e-05,False
ema,blocks.7.ffn.net.2.weight,blocks.7,1536x8960,13762560,1.078497469109152e-08,5.245208740234375e-06,0.0005382146944059663,104.32356049060778,5.159090543640106e-06,False
ema,blocks.7.scale_shift_table,blocks.7,1x6x1536,9216,2.042040250671562e-06,4.462897777557373e-06,0.00021147670847913465,4.541539368318233,4.656498410084234e-05,False
ema,blocks.8.attn1.norm_k.weight,blocks.8,1536,1536,0.0,0.0,0.0,51.150372390659335,0.0,True
ema,blocks.8.attn1.norm_q.weight,blocks.8,1536,1536,0.0,0.0,0.0,51.07040273148676,0.0,True
ema,blocks.8.attn1.to_k.bias,blocks.8,1536,1536,8.30429325304749e-09,2.384185791015625e-06,4.34582856501536e-06,2.7253684678447536,1.5945838576647533e-06,False
ema,blocks.8.attn1.to_k.weight,blocks.8,1536x1536,2359296,7.458977435703673e-09,4.76837158203125e-06,0.00017480933708302675,56.048715383082154,3.1188821347328932e-06,False
ema,blocks.8.attn1.to_out.0.bias,blocks.8,1536,1536,2.764863893389702e-08,4.291534423828125e-06,9.831559857802064e-06,0.521599603273747,1.8848863756944607e-05,False
ema,blocks.8.attn1.to_out.0.weight,blocks.8,1536x1536,2359296,8.03038524566091e-09,5.245208740234375e-06,0.00018885796361944646,53.81861309281739,3.5091570140191492e-06,False
ema,blocks.8.attn1.to_q.bias,blocks.8,1536,1536,1.953837092116828e-08,3.4570693969726562e-06,7.765149369781744e-06,1.097976909241788,7.072233764129816e-06,False
ema,blocks.8.attn1.to_q.weight,blocks.8,1536x1536,2359296,7.2557799768446785e-09,4.76837158203125e-06,0.00017129883899334828,55.22274232172149,3.1019618329596415e-06,False
ema,blocks.8.attn1.to_v.bias,blocks.8,1536,1536,8.004523266436081e-08,4.76837158203125e-06,1.6097082404594004e-05,0.15066706034551236,0.00010683876334729736,False
ema,blocks.8.attn1.to_v.weight,blocks.8,1536x1536,2359296,7.515890132481218e-09,5.245208740234375e-06,0.00018109958880946727,54.84559514346275,3.3019896736602355e-06,False
ema,blocks.8.ffn.net.0.proj.bias,blocks.8,8960,8960,4.6632653294409465e-09,2.86102294921875e-06,8.678771958304321e-06,2.341731104750408,3.7061351496313816e-06,False
ema,blocks.8.ffn.net.0.proj.weight,blocks.8,8960x1536,13762560,9.019934132936669e-09,5.245208740234375e-06,0.00047643189792225216,114.50433261453472,4.16081983138664e-06,False
ema,blocks.8.ffn.net.2.bias,blocks.8,1536,1536,3.5176828561134244e-08,3.337860107421875e-06,9.78937112129193e-06,0.4674771989525149,2.0940852608867815e-05,False
ema,blocks.8.ffn.net.2.weight,blocks.8,1536x8960,13762560,1.1009934297590007e-08,5.7220458984375e-06,0.0005399980025526885,103.76220748964914,5.204187686605946e-06,False
ema,blocks.8.scale_shift_table,blocks.8,1x6x1536,9216,2.0212598883517785e-06,4.36045229434967e-06,0.00020865791620098314,4.313915075804112,4.8368572986347214e-05,False
ema,blocks.9.attn1.norm_k.weight,blocks.9,1536,1536,0.0,0.0,0.0,51.46933818728875,0.0,True
ema,blocks.9.attn1.norm_q.weight,blocks.9,1536,1536,0.0,0.0,0.0,51.60338341317844,0.0,True
ema,blocks.9.attn1.to_k.bias,blocks.9,1536,1536,4.3461718668424965e-09,2.384185791015625e-06,3.2340669551493016e-06,2.6017707993339547,1.243025310290964e-06,False
ema,blocks.9.attn1.to_k.weight,blocks.9,1536x1536,2359296,7.1141985635847504e-09,4.76837158203125e-06,0.00017166533502843554,57.63205793273827,2.9786431577505223e-06,False
ema,blocks.9.attn1.to_out.0.bias,blocks.9,1536,1536,2.752252292737012e-08,4.76837158203125e-06,9.102219136707944e-06,0.5458013622248764,1.6676798129611573e-05,False
ema,blocks.9.attn1.to_out.0.weight,blocks.9,1536x1536,2359296,8.11165801195557e-09,5.245208740234375e-06,0.0001892087462867404,53.693486369536714,3.523867773914667e-06,False
ema,blocks.9.attn1.to_q.bias,blocks.9,1536,1536,1.0011717677116394e-08,3.2186508178710938e-06,5.30581786257455e-06,1.2695616263643532,4.179251918447357e-06,False
