sample_id,status,num_frames,propagation_coverage,average_confidence,avg_num_sources_used,propagated_region_psnr,full_mask_prop_psnr,failure_reason
youtubevos_000000_003234408d,ok,16,0.059519907346706875,0.05510437861084938,0.2734009623527527,26.76563724760883,29.90364458409502,
youtubevos_000001_0043f083b5,ok,16,0.07862887445209768,0.07238375395536423,0.35562774538993835,24.124727889803694,29.412233315249964,
youtubevos_000002_0044fa5fba,ok,16,0.07356687637209607,0.0663515105843544,0.2687629163265228,25.0347627916039,31.97564525966135,
youtubevos_000003_005a527edd,ok,16,0.05222169904837431,0.047675419598817825,0.20847995579242706,27.762895287193633,34.1121873917552,
youtubevos_000004_0065b171f9,ok,16,0.06606343671605996,0.06127413734793663,0.316639244556427,24.974928742711967,28.122356353656905,
youtubevos_000005_00917dcfc4,ok,16,0.05758216582958851,0.05405876040458679,0.3020778298377991,22.69340675880248,27.345977554513603,
youtubevos_000006_00a23ccf53,ok,16,0.037736025076498245,0.03434055298566818,0.23027370870113373,24.75341127228075,32.7440470774776,
youtubevos_000007_00ad5016a4,ok,16,0.04043240112489451,0.03437895327806473,0.18462568521499634,28.208517860172904,36.23602141154243,
youtubevos_000008_01082ae388,ok,16,0.026432322230632695,0.025066303089261055,0.08754948526620865,28.05922385015935,42.2131202949553,
youtubevos_000009_011ac0a06f,ok,16,0.012123686452712298,0.011528774164617062,0.08568740636110306,14.94139504175331,27.769305469763488,
youtubevos_000010_013099c098,ok,16,0.04025138725407769,0.0472191721200943,0.3864684998989105,20.614990198411856,23.355049214176233,
youtubevos_000011_0155498c85,ok,16,0.04937109334972845,0.048926979303359985,0.30164676904678345,22.178495278987352,28.203128424589018,
youtubevos_000012_01694ad9c8,ok,16,0.05166574066159501,0.046139370650053024,0.19956834614276886,23.663955046120194,32.024683666227304,
youtubevos_000013_017ac35701,ok,16,0.041386069556015204,0.04134567826986313,0.31087353825569153,17.46155671257219,22.857663806154385,
youtubevos_000014_01baa5a4e1,ok,16,0.015401104063894762,0.016598094254732132,0.1807199865579605,13.143682945774493,22.343030415103495,
youtubevos_000015_01c3111683,ok,16,0.011202405658379568,0.014062674716114998,0.12534676492214203,21.763155736575843,32.113248123754396,
youtubevos_000016_01c4cb5ffe,ok,16,0.025120290773548618,0.030713381245732307,0.25538522005081177,17.354233014049665,22.990695290199753,
youtubevos_000017_01c76f0a82,ok,16,0.033672316980494804,0.03431551903486252,0.2780967652797699,22.04876091472609,24.89517746012462,
youtubevos_000018_01c783268c,ok,16,0.04474450811843362,0.04340696334838867,0.2898423969745636,19.647989483603585,25.6214362615785,
youtubevos_000019_01e64dd36a,ok,16,0.03280439277493855,0.03366843983530998,0.28425273299217224,17.9450611997348,22.128455444462716,
youtubevos_000020_01ed275c6e,ok,16,0.04204826948573023,0.039544958621263504,0.23301540315151215,19.89900318302601,27.177449185700368,
youtubevos_000021_01ff60d1fa,ok,16,0.007590446914164105,0.005623564589768648,0.03171553462743759,25.881725810077594,46.760370366682736,
youtubevos_000022_020cd28cd2,ok,16,0.023751659348514247,0.029240189120173454,0.2726641595363617,23.393743493031053,27.843120735972327,
youtubevos_000023_02264db755,ok,16,0.018391348537565137,0.025386523455381393,0.27474361658096313,20.641931061399674,24.04635427062761,
youtubevos_000024_0248626d9a,ok,16,0.032862197985101385,0.033210013061761856,0.24466335773468018,23.95372092982963,27.077784637299757,
youtubevos_000025_02668dbffa,ok,16,0.020790421934618705,0.019549518823623657,0.07078873366117477,31.95097419347118,46.558267539823326,
youtubevos_000026_0274193026,ok,16,0.02045180874015353,0.024370020255446434,0.20291255414485931,20.82658250008158,27.96930910709807,
youtubevos_000027_02d28375aa,ok,16,0.035452153110047846,0.03480704501271248,0.23402871191501617,22.334182262086188,27.04677961781571,
youtubevos_000028_031ccc99b1,ok,16,0.03259652555157458,0.034822527319192886,0.2745380103588104,16.51741023950717,22.79467522403959,
youtubevos_000029_0321b18c10,ok,16,0.043873070782331026,0.04584018513560295,0.3188096284866333,21.704637978522427,25.876249983770446,
youtubevos_000030_0348a45bca,ok,16,0.036689024114373615,0.03403467684984207,0.18342815339565277,26.165269617549963,33.14827874419694,
youtubevos_000031_0355e92655,ok,16,0.0243098635235732,0.03226577118039131,0.2990279793739319,18.85302898499325,24.853138741784417,
youtubevos_000032_0358b938c1,ok,16,0.016825343127778853,0.02520136348903179,0.2630871832370758,16.79644024206846,23.056444036651445,
youtubevos_000033_0368107cf1,ok,16,0.05487508236496764,0.05093543604016304,0.28143468499183655,24.301430028250785,28.535779583600792,
youtubevos_000034_0379ddf557,ok,16,0.012904444444444444,0.019178515300154686,0.24561333656311035,14.623041286224774,20.908441786803103,
youtubevos_000035_038b2cc71d,ok,16,0.021864149305555556,0.02685014344751835,0.21423709392547607,15.713598550418347,23.964831203616008,
youtubevos_000036_038c15a5dd,ok,16,0.017082058536761986,0.015081839635968208,0.07193602621555328,29.970356838176908,42.37454191455217,
youtubevos_000037_03a06cc98a,ok,16,0.06732093663911845,0.06047394499182701,0.33282235264778137,25.25435140614631,28.250529896313555,
youtubevos_000038_03a63e187f,ok,16,0.014548528809199027,0.014087538234889507,0.04785195365548134,28.33455715107457,40.66851662723282,
youtubevos_000039_03c95b4dae,ok,16,0.0794174209327118,0.06928990036249161,0.3122974932193756,26.586380076897676,34.23187828915146,
youtubevos_000040_03e2b57b0e,ok,16,0.06621312002572555,0.059038542211055756,0.2806696593761444,25.604564409277472,31.438870871479754,
youtubevos_000041_04194e1248,ok,16,0.0414387854909146,0.04322003200650215,0.2940252721309662,25.3442906895194,30.28655239207893,
youtubevos_000042_04259896e2,ok,16,0.02090998579912213,0.02712656371295452,0.26329314708709717,17.76326548653149,24.38700392283004,
youtubevos_000043_0444918a5f,ok,16,0.05579080903373356,0.049822233617305756,0.23985804617404938,28.108337628395702,34.01147099216939,
youtubevos_000044_04460a7a52,ok,16,0.05736323962245002,0.051262397319078445,0.20346876978874207,26.164550253825105,35.03136718906547,
youtubevos_000045_04474174a4,ok,16,0.029803160521208762,0.028055375441908836,0.13128209114074707,23.692144302411275,31.515657890736392,
youtubevos_000046_0450095513,ok,16,0.0852886331396147,0.07642865180969238,0.3797333240509033,30.743961375896447,32.81225729948379,
youtubevos_000047_045f00aed2,ok,16,0.030802571113896168,0.03158923238515854,0.2449655383825302,17.92887866978635,23.00774965207363,
youtubevos_000048_04667fabaa,ok,16,0.04531434273791164,0.043058305978775024,0.25263652205467224,23.83950115772683,25.83755786755155,
youtubevos_000049_04735c5030,ok,16,0.027286167666747598,0.03359076753258705,0.3219863176345825,22.17468908422882,24.99986849640438,
youtubevos_000050_04990d1915,ok,16,0.07369545094466094,0.0684521272778511,0.3943288326263428,24.87523379005632,28.592208288434623,
youtubevos_000051_04d62d9d98,ok,16,0.03264665461802026,0.03472580388188362,0.27663880586624146,23.705170589956772,24.18286518859501,
youtubevos_000052_04f21da964,ok,16,0.03321782008362048,0.03155362978577614,0.15095555782318115,24.277533210742156,30.06370668981956,
