video,delta_psnr,delta_lpips,delta_boundary_psnr,delta_ewarp,metric_seed_class,visual_review,new_artifact,sheet_path,manual_note
goat,-0.8340814395961615,2.60291077817474e-05,-0.06281473591757702,0.03064087713542385,fresh_clearly_better_metric_seed,fresh_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/goat.jpg,fresh boundary/texture preferable
hike,0.8786297833824293,-0.002093028199548522,-0.23370962428194275,0.010902871904165501,candidate_clearly_better_metric_seed,candidate_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/hike.jpg,candidate slightly cleaner object/background transition
hockey,-0.23985616749498462,0.00013035070151090622,-0.11026638320196724,-0.009327909261311884,fresh_clearly_better_metric_seed,fresh_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/hockey.jpg,no clear visual separation; treat as tie/marginal
horsejump-high,0.308935955173375,-0.0005607687247296197,-0.088745622810805,-0.021405477562677078,candidate_clearly_better_metric_seed,candidate_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/horsejump-high.jpg,no clear visual separation; treat as tie/marginal
horsejump-low,0.15030773929342445,0.0017197222914546728,-0.10877082861481568,-0.14370537120039106,tie_metric_seed,tie,candidate_perceptual_or_texture_penalty,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/horsejump-low.jpg,no clear visual separation; treat as tie/marginal
kite-surf,-0.033416565395022246,-0.0001776713955526539,0.10692315528488905,-0.007360626983901497,fresh_slightly_better_metric_seed,candidate_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/kite-surf.jpg,no clear visual separation; treat as tie/marginal
kite-walk,0.73261330344409,0.0020387569675222044,0.5585785653368873,-0.006994586842863804,tie_metric_seed,fresh_slightly_better,candidate_perceptual_or_texture_penalty,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/kite-walk.jpg,no clear visual separation; treat as tie/marginal
libby,0.13079116674560964,-6.151355531377155e-05,0.17879151437326968,-0.0023964144613444205,candidate_clearly_better_metric_seed,tie,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/libby.jpg,no clear visual separation; treat as tie/marginal
lucia,-0.9632178328789109,0.0002654604031704366,-0.2720898233155076,-0.03645042686358746,fresh_clearly_better_metric_seed,fresh_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/lucia.jpg,fresh visually preferable; candidate softer/less stable
mallard-fly,0.17536177522207197,0.0002645085720966271,0.05821429132583944,-0.0020692367916521626,candidate_clearly_better_metric_seed,candidate_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/mallard-fly.jpg,no clear visual separation; treat as tie/marginal
mallard-water,-0.7168430170678661,0.001287123654037714,-0.43276862689603135,0.17816510618380832,fresh_clearly_better_metric_seed,fresh_slightly_better,candidate_perceptual_or_texture_penalty,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/mallard-water.jpg,candidate temporal/perceptual penalty; fresh preferable
motocross-bumps,-0.1484216985119815,-0.000654296445039412,-0.1037849936877997,0.010381882969775935,fresh_clearly_better_metric_seed,tie,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/motocross-bumps.jpg,no clear visual separation; treat as tie/marginal
motocross-jump,0.2671303386813335,-0.00017543633778889858,-0.2447247842046174,0.15386419229047377,candidate_clearly_better_metric_seed,tie,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/motocross-jump.jpg,no clear visual separation; treat as tie/marginal
motorbike,-0.2471468716223768,0.00012390755000524223,-0.3267504709482729,-0.009039239755467499,fresh_clearly_better_metric_seed,fresh_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/motorbike.jpg,no clear visual separation; treat as tie/marginal
paragliding,0.2797364769653683,0.00152073975186795,0.12510333420728514,-0.014143818786934714,tie_metric_seed,fresh_slightly_better,candidate_perceptual_or_texture_penalty,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/paragliding.jpg,no clear visual separation; treat as tie/marginal
paragliding-launch,-0.14952293507157322,-0.00040676064478854367,-0.0661274557287328,0.015831603061245758,fresh_clearly_better_metric_seed,tie,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/paragliding-launch.jpg,no clear visual separation; treat as tie/marginal
parkour,0.04485782246661785,0.0008195141951243094,-0.15992547013610192,0.000543204014715748,candidate_slightly_better_metric_seed,candidate_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/parkour.jpg,no clear visual separation; treat as tie/marginal
rhino,1.0020435458470658,-0.0012093780096620321,1.1812039789160451,0.037136113109148106,candidate_clearly_better_metric_seed,candidate_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/rhino.jpg,candidate sharper local inpaint
rollerblade,0.17424585933143177,-0.0006872784191121646,-0.2921689952716875,0.05746325073034875,candidate_clearly_better_metric_seed,tie,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/rollerblade.jpg,no clear visual separation; treat as tie/marginal
scooter-black,0.09178441137045823,-0.0004543118605700629,0.25021505753861106,0.11528672083563407,candidate_clearly_better_metric_seed,candidate_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/scooter-black.jpg,candidate local gain but Ewarp worsens
scooter-gray,-0.07192589688946782,0.0009956357534974813,0.041206707264031195,0.018741692537846077,fresh_clearly_better_metric_seed,candidate_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/scooter-gray.jpg,no clear visual separation; treat as tie/marginal
soapbox,-0.5037959586231082,8.951992883036476e-05,-0.17568502004117903,-0.0023541354533773706,fresh_clearly_better_metric_seed,fresh_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/soapbox.jpg,no clear visual separation; treat as tie/marginal
soccerball,-0.2738443300515101,-0.0022811474433789627,-0.2069388443760296,0.0688042289212989,fresh_clearly_better_metric_seed,tie,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/soccerball.jpg,no clear visual separation; treat as tie/marginal
stroller,-0.1545962317517109,0.0003777034968758617,-0.2974379628137598,0.0039777293315399476,fresh_clearly_better_metric_seed,candidate_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/stroller.jpg,no clear visual separation; treat as tie/marginal
surf,0.31153497084375914,-0.0007750569299484296,0.34185100750883635,-0.365359850389801,candidate_clearly_better_metric_seed,candidate_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/surf.jpg,candidate cleaner water/mask texture
swing,0.6238403264884127,-0.0005260887555778027,-0.09683817984404541,-0.004228619534684341,candidate_clearly_better_metric_seed,candidate_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/swing.jpg,candidate cleaner localized output
tennis,-0.6929266965510053,-3.305962309241295e-05,-0.5068185123554834,-0.052717696551395576,fresh_clearly_better_metric_seed,fresh_slightly_better,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/tennis.jpg,fresh local detail preferable
train,0.3783639172593567,0.0005674715309093407,0.13172881000295789,0.1439669209977863,candidate_slightly_better_metric_seed,tie,none_obvious,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp23_two_stage_pool_morphology_sweep/phaseA_scale1_pair001_outer2_corrected_outer_control_seed20260619_gpus2456/visual_review_sheets/train.jpg,no clear visual separation; treat as tie/marginal
