model_label,video,frames,whole_video_psnr,whole_video_ssim,mask_region_psnr,mask_region_ssim,strict_mask_pixel_psnr,boundary_pixel_psnr,outside_diff_mean,outside_diff_max,whole_video_lpips,ewarp,flow_conf_mean,valid_flow_ratio,mean_flow_magnitude,gate_mean,gate_p10,gate_p50,gate_p90,nonzero_gate_ratio
SFT48000_baseline,boat,24,26.756076572382934,0.9295890136423756,20.625179106316896,0.7393123529065249,18.880819582516253,25.676339020394437,0.0,0.0,0.04237506150578459,2.97622454514646,,,,,,,,
SFT48000_baseline,rhino,24,26.370366949565465,0.9458669666210483,18.41188092454389,0.6554534585761252,15.532570235112745,24.093777160810124,0.0,0.0,0.02720819879323244,3.082938117744482,,,,,,,,
SFT48000_baseline,dog-agility,24,26.003488761108883,0.9481491205033151,19.33348077849912,0.6959077666581601,16.302506594519496,25.459745576970004,0.0,0.0,0.027180220776547987,23.692157605419986,,,,,,,,
SFT48000_baseline,blackswan,24,32.10107748788725,0.966106918046738,23.696925787045913,0.7676011568955273,21.062093506994596,26.713742713762553,0.0,0.0,0.018152320524677634,4.850708970638073,,,,,,,,
SFT48000_baseline,lucia,24,34.15187946496845,0.9878500033076224,22.809346799117204,0.840041277217693,19.503325630361118,24.945470579146228,0.0,0.0,0.00943249031358088,5.881302645834891,,,,,,,,
SFT48000_baseline,dance-jump,24,34.19862930085112,0.9813180021006609,26.101297646182285,0.8787259351445392,22.471514116808113,26.36092421439893,0.0,0.0,0.011581905884668231,4.115808734913235,,,,,,,,
SFT48000_baseline,flamingo,24,33.58452915899967,0.9874530586034326,22.270433897131245,0.8193513473444297,19.73389171393949,23.578154830075036,0.0,0.0,0.009024198652089884,3.6300943010365185,,,,,,,,
SFT48000_baseline,soccerball,24,23.62756304910343,0.9389192864381074,15.684755542261636,0.610328989208761,12.438630140487467,19.692160689942313,0.0,0.0,0.032063058810308576,7.448725078416907,,,,,,,,
SFT48000_baseline,camel,24,25.612708004920393,0.9395532936550204,20.219001293857488,0.7447016168710281,17.79307821331567,23.18392578701697,0.0,0.0,0.03814447935049733,12.93989279023979,,,,,,,,
SFT48000_baseline,car-roundabout,24,33.77468356216598,0.9950532908811942,21.433851501832304,0.9009328000604265,19.484731693141295,23.03103277762918,0.0,0.0,0.005191507894778624,15.106187971389813,,,,,,,,
Exp11_boundary_outer_b075_S2,boat,24,26.52536614419995,0.9316661198656115,20.394468678133915,0.7419196116231506,18.650109154333276,25.92701172201575,0.0,0.0,0.03939097126324972,3.074783021989076,,,,,,,,
Exp11_boundary_outer_b075_S2,rhino,24,26.315012373284926,0.945510633376831,18.356526348263348,0.6534955254785731,15.477215658832202,24.482431354441427,0.0,0.0,0.025940791548540194,3.096827154007295,,,,,,,,
Exp11_boundary_outer_b075_S2,dog-agility,24,27.035964062436648,0.957444219210795,20.365956079826873,0.7522860869361508,17.33498189584725,26.656219492615183,0.0,0.0,0.02394630395186444,23.18463170819956,,,,,,,,
Exp11_boundary_outer_b075_S2,blackswan,24,32.894139818602746,0.9673445215883177,24.489988117761403,0.769329069753014,21.855155837710083,27.192522895880927,0.0,0.0,0.01730008046918859,4.8433780346227735,,,,,,,,
Exp11_boundary_outer_b075_S2,lucia,24,34.03548657740025,0.9874098722738792,22.692953911548997,0.8343893162641866,19.38693274279292,25.15363874839313,0.0,0.0,0.00885295852397879,5.889216316458972,,,,,,,,
Exp11_boundary_outer_b075_S2,dance-jump,24,34.438498837614866,0.9820387997077825,26.341167182946023,0.8839510045781166,22.711383653571858,26.725197163112455,0.0,0.0,0.011159860218564669,4.111761217127028,,,,,,,,
