split,step,variant,sample_id,status,frames,prediction_dir,gt_dir,mask_dir,mask_profile,area_bucket,motion_bucket,full_psnr,full_ssim,full_lpips,mask_psnr,mask_ssim,mask_lpips,boundary_psnr,boundary_ssim,boundary_lpips,outside_psnr,outside_l1,temporal_absdiff_mean,temporal_absdiff_max,tc_status,ewarp_full,ewarp_mask_region
search,2000,raw,vp2_vor_bg_49f_REAL_ENV230_00102_007_01,OK,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_eval_step0_50_2000_20260628_032700/search/step2000/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV230_00102_007_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/materialized_49f/vp2_vor_bg_49f_REAL_ENV230_00102_007_01/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/masks/vp2_vor_bg_49f_REAL_ENV230_00102_007_01/masks,,,,29.737291377635877,0.9466946897865853,0.05042575862334699,27.097791173863772,0.9148924733155762,0.06457729109873374,27.524816049849978,0.9156520146181709,0.06456926263247927,30.183294485105385,5.761637843385035,4.208490197857221,6.852453708648682,TC_BACKEND_NOT_LOCAL,nan,0.5770292051844687
search,2000,raw,vp2_vor_bg_49f_BLENDER_BEACH040_00001,OK,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_eval_step0_50_2000_20260628_032700/search/step2000/official_generation/raw_frames/vp2_vor_bg_49f_BLENDER_BEACH040_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/materialized_49f/vp2_vor_bg_49f_BLENDER_BEACH040_00001/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/masks/vp2_vor_bg_49f_BLENDER_BEACH040_00001/masks,,,,28.668060507820726,0.9793607901816804,0.033823516752038686,28.80493319879856,0.9795532655113655,0.03469672426581383,27.462616177902163,0.979336277990582,0.034447834749395646,28.638525310556812,7.762254170009068,0.39313402213156223,1.5437161922454834,TC_BACKEND_NOT_LOCAL,nan,0.01640068225583491
search,2000,raw,vp2_vor_bg_49f_REAL_ENV212_00015_007_01,OK,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_eval_step0_50_2000_20260628_032700/search/step2000/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV212_00015_007_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/materialized_49f/vp2_vor_bg_49f_REAL_ENV212_00015_007_01/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/masks/vp2_vor_bg_49f_REAL_ENV212_00015_007_01/masks,,,,30.051319335471252,0.9874588549380624,0.014294202154388234,27.38247934680938,0.9840963973884845,0.018959738915630926,28.9102414180677,0.9838859454874891,0.018794799456372857,31.931157481036976,5.354506132554035,1.7050254996865988,2.910460948944092,TC_BACKEND_NOT_LOCAL,nan,0.31114320313463395
search,2000,raw,vp2_vor_bg_49f_REAL_ENV156_00020_002_03,OK,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_eval_step0_50_2000_20260628_032700/search/step2000/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV156_00020_002_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/materialized_49f/vp2_vor_bg_49f_REAL_ENV156_00020_002_03/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/masks/vp2_vor_bg_49f_REAL_ENV156_00020_002_03/masks,,,,28.846239164709402,0.9351067141965747,0.04603106680573249,23.57519184498018,0.7220395901115525,0.09698794580375154,24.148849860753312,0.7225449072719602,0.09463987965136766,30.00952025483346,5.938088183500329,6.48290874560674,9.746352195739746,TC_BACKEND_NOT_LOCAL,nan,2.453022102902954
search,2000,raw,vp2_vor_bg_49f_REAL_ENV171_00003_004_04,OK,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_eval_step0_50_2000_20260628_032700/search/step2000/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV171_00003_004_04,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/materialized_49f/vp2_vor_bg_49f_REAL_ENV171_00003_004_04/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/masks/vp2_vor_bg_49f_REAL_ENV171_00003_004_04/masks,,,,31.24693057011221,0.9803449491002463,0.025171986115830287,28.066081320951216,0.9761023196118183,0.02610512205865234,28.853208243288226,0.9762631302180361,0.02581913551936547,31.70057764217698,4.528973749705723,10.531401220709085,15.704679489135742,TC_BACKEND_NOT_LOCAL,nan,0.7058911548180428
search,2000,raw,vp2_vor_bg_49f_REAL_ENV009_00001_007_04,OK,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_eval_step0_50_2000_20260628_032700/search/step2000/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV009_00001_007_04,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/materialized_49f/vp2_vor_bg_49f_REAL_ENV009_00001_007_04/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/masks/vp2_vor_bg_49f_REAL_ENV009_00001_007_04/masks,,,,30.298865511227483,0.9786518998843411,0.025205222566669086,26.279782122965514,0.9611200385401322,0.03253381644996504,26.65705896391795,0.9620761511436374,0.0331979151815176,31.002955923824892,4.9817057580364,9.154556170105934,14.154719352722168,TC_BACKEND_NOT_LOCAL,nan,0.5069991581573655
search,2000,raw,vp2_vor_bg_49f_REAL_ENV234_00102_002_04,OK,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_eval_step0_50_2000_20260628_032700/search/step2000/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV234_00102_002_04,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/materialized_49f/vp2_vor_bg_49f_REAL_ENV234_00102_002_04/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/masks/vp2_vor_bg_49f_REAL_ENV234_00102_002_04/masks,,,,27.714471941493372,0.9391579715676983,0.06968802943521617,29.784399735043525,0.9399273645824545,0.05805023014545441,28.368207439330536,0.9408672161424617,0.05836215149611235,27.512235989286467,7.943091324397495,14.366306272645792,20.11494255065918,TC_BACKEND_NOT_LOCAL,nan,0.5123438810793838
search,2000,raw,vp2_vor_bg_49f_REAL_ENV232_00006_001_01,OK,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_eval_step0_50_2000_20260628_032700/search/step2000/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV232_00006_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/materialized_49f/vp2_vor_bg_49f_REAL_ENV232_00006_001_01/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/masks/vp2_vor_bg_49f_REAL_ENV232_00006_001_01/masks,,,,27.35009471149328,0.9551088592858992,0.06331917278620662,24.668325402050566,0.9310597648669465,0.07927778565014403,26.188759326751278,0.9316181971981634,0.07831025558213393,29.40400991700385,6.417590997656998,5.846253156661987,9.162972450256348,TC_BACKEND_NOT_LOCAL,nan,0.7889218310689708
search,2000,raw,vp2_vor_bg_49f_REAL_ENV241_00101_002_01,OK,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_eval_step0_50_2000_20260628_032700/search/step2000/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV241_00101_002_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/materialized_49f/vp2_vor_bg_49f_REAL_ENV241_00101_002_01/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/masks/vp2_vor_bg_49f_REAL_ENV241_00101_002_01/masks,,,,27.921945146845857,0.9479665080104693,0.0496285510610561,22.448160920397168,0.859654852424614,0.08038322472323974,24.82579374817114,0.8619552016007272,0.07985412624354164,28.957374692989212,6.826713201951008,4.114695544044177,6.028958320617676,TC_BACKEND_NOT_LOCAL,nan,0.8548215115903682
search,2000,raw,vp2_vor_bg_49f_REAL_ENV284_00102_003_04,OK,49,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_eval_step0_50_2000_20260628_032700/search/step2000/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV284_00102_003_04,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/materialized_49f/vp2_vor_bg_49f_REAL_ENV284_00102_003_04/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/masks/vp2_vor_bg_49f_REAL_ENV284_00102_003_04/masks,,,,27.138064612478956,0.8956446538253503,0.05686969021145178,27.063537029135997,0.9599927126657243,0.037601392289313175,28.492725794165455,0.9605428494060235,0.03812534777292361,27.152854274795562,7.776900126009571,6.178957751641671,8.412668228149414,TC_BACKEND_NOT_LOCAL,nan,0.13846399944365353
