loss,t,weight_mean,target_norm,pred_norm,mask_latent_ratio,boundary_latent_ratio,affected_outside_latent_ratio,near_outside_latent_ratio,grad_norm,grad_max_abs,grad_tensors,worker,recipe,recipe_family,step,lr,scope,sample_id,finite,mask_weight,boundary_weight,affected_weight,outside_weight,far_outside_weight,hard_noise_schedule,runtime_report_file
0.25120222568511963,0.19,0.5361347794532776,738.1221313476562,695.7457885742188,0.154296875,0.07968749850988388,0.47099611163139343,0.04096679762005806,1.4863109690645377,0.1083984375,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,11,3e-05,S0,BLENDER_FOREST010_00004,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
0.13822808861732483,0.29,0.17145662009716034,725.0988159179688,701.28466796875,0.08872070163488388,0.085693359375,0.02045898512005806,0.04550781473517418,0.8577916257218828,0.060791015625,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,12,3e-05,S0,BLENDER_FOREST013_00008,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
0.12680719792842865,0.39,0.11722562462091446,704.9984130859375,679.2576293945312,0.05649414286017418,0.04404297098517418,0.02802734449505806,0.02294921875,0.6181196655925212,0.07275390625,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,13,3e-05,S0,BLENDER_FOREST015_00001,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
0.15449929237365723,0.49,0.18321405351161957,702.0516357421875,683.931396484375,0.06357421725988388,0.03061523474752903,0.116455078125,0.015869140625,1.0432259792169907,0.07064634561538696,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,14,3e-05,S0,BLENDER_FOREST016_00001,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
0.059288039803504944,0.59,0.074323870241642,666.33984375,632.2347412109375,0.00815429724752903,0.009765625,0.05644531175494194,0.00537109375,0.7355528281184025,0.08056640625,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,15,3e-05,S0,BLENDER_FOREST017_00001,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
0.19566406309604645,0.19,0.05242419242858887,655.6986083984375,577.3009643554688,0.0205078125,0.0166015625,0.0030761719681322575,0.0087890625,1.3124772978212251,0.125,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,16,3e-05,S0,BLENDER_FOREST018_00001,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
0.1207486167550087,0.29,0.13731348514556885,669.7320556640625,624.3936767578125,0.014892578125,0.016357421875,0.13276366889476776,0.0087890625,0.9515948287017689,0.07470703125,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,17,3e-05,S0,BLENDER_FOREST019_00001,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
0.10767215490341187,0.39,0.16393326222896576,702.2549438476562,670.7911376953125,0.06708984822034836,0.08544921875,0.03818359598517418,0.04633789137005806,0.5357696636908681,0.04638671875,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,18,3e-05,S0,BLENDER_FOREST021_00002,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
0.10809089243412018,0.49,0.05643191561102867,695.23583984375,667.2034912109375,0.013085938058793545,0.02353515662252903,0.01206054724752903,0.013671875,0.8332185786381777,0.05029296875,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,19,3e-05,S0,BLENDER_FOREST022_00001,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
0.06812924891710281,0.59,0.18596963584423065,743.3309936523438,734.8173828125,0.08554687350988388,0.116943359375,0.011279297061264515,0.06357421725988388,0.4484081239369711,0.012213429436087608,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,20,3e-05,S0,BLENDER_FOREST023_00001,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
