beta_dpo,ema_decay,ema_step_max_delta,eta_dpo,finite,grad_norm,loser_policy_mse,loser_ref_mse,loss,lr,margin,policy_delta_norm,reference_delta_norm,row_index,sample_id,step,timestep,utility_max,utility_mean,utility_min,variant,winner_policy_mse,winner_ref_mse
5000.0,,0.0,0.01,True,0.46296580899234324,0.2554405927658081,0.2554405927658081,-0.11288139224052429,1e-07,0.0,0.0001330815782561796,0.0,0,youtubevos_000000_003234408d,1,500,0.5,0.5,0.5,linear_frozen,0.029677804559469223,0.029677804559469223
5000.0,,0.0,0.01,True,0.47379103300107617,0.25543245673179626,0.2554405927658081,-0.11546924710273743,1e-07,-1.1855736374855042e-05,0.0002645377451933081,0.0,0,youtubevos_000000_003234408d,2,500,0.6782923936843872,0.5118557214736938,0.40718066692352295,linear_frozen,0.029681522399187088,0.029677804559469223
5000.0,,0.0,0.01,True,0.4713840057311986,0.25543540716171265,0.2554405927658081,-0.11491851508617401,1e-07,-9.984709322452545e-06,0.0003948373869122495,0.0,0,youtubevos_000000_003234408d,3,500,0.6221895217895508,0.5099847316741943,0.30746209621429443,linear_frozen,0.029682597145438194,0.029677804559469223
5000.0,,0.0,0.01,True,0.4246916133031704,0.2554861009120941,0.2554405927658081,-0.10365233570337296,1e-07,3.827270120382309e-05,0.000523899855147166,0.0,0,youtubevos_000000_003234408d,4,500,0.5763237476348877,0.4617272913455963,0.29202449321746826,linear_frozen,0.02968502976000309,0.029677804559469223
5000.0,,0.0,0.01,True,0.46006165302627583,0.25544440746307373,0.2554405927658081,-0.11206351965665817,1e-07,1.5506520867347717e-06,0.000653204147772033,0.0,0,youtubevos_000000_003234408d,5,500,0.6518875360488892,0.4984493553638458,0.4202042818069458,linear_frozen,0.029680054634809494,0.029677804559469223
5000.0,,0.0,0.01,True,0.4754776268706526,0.25543415546417236,0.2554405927658081,-0.11589370667934418,1e-07,-1.2288801372051239e-05,0.0007825633212906855,0.0,0,youtubevos_000000_003234408d,6,500,0.6895874738693237,0.5122888088226318,0.4206960201263428,linear_frozen,0.029683638364076614,0.029677804559469223
5000.0,,0.0,0.01,True,0.4372658579158659,0.2554655373096466,0.2554405927658081,-0.10658212006092072,1e-07,2.5865621864795685e-05,0.0009112888268356617,0.0,0,youtubevos_000000_003234408d,7,500,0.5847876071929932,0.4741343855857849,0.30928003787994385,linear_frozen,0.02967686392366886,0.029677804559469223
5000.0,,0.0,0.01,True,0.48048678696353975,0.25542598962783813,0.2554405927658081,-0.11697676032781601,1e-07,-1.9798986613750458e-05,0.0010402453506340673,0.0,0,youtubevos_000000_003234408d,8,500,0.6477599143981934,0.519798994064331,0.44575977325439453,linear_frozen,0.029682978987693787,0.029677804559469223
5000.0,,0.0,0.01,True,0.453188931318359,0.2554479241371155,0.2554405927658081,-0.11046351492404938,1e-07,8.103437721729279e-06,0.001168773792036815,0.0,0,youtubevos_000000_003234408d,9,500,0.6161247491836548,0.4918965697288513,0.3935014009475708,linear_frozen,0.029677025973796844,0.029677804559469223
5000.0,,0.0,0.01,True,0.45386419700252995,0.25545600056648254,0.2554405927658081,-0.1105356365442276,1e-07,8.387491106987e-06,0.0012969709135074255,0.0,0,youtubevos_000000_003234408d,10,500,0.742188572883606,0.4916124939918518,0.27163970470428467,linear_frozen,0.029684821143746376,0.029677804559469223
