split,comparison,rows,primary_metric_win_rate,temporal_not_worse_rate,full_psnr_delta_mean,mask_psnr_delta_mean,boundary_psnr_sampled4_delta_mean,outside_psnr_sampled4_delta_mean,outside_l1_sampled4_delta_mean,full_ssim_delta_mean,temporal_absdiff_mean_delta_mean,temporal_absdiff_max_delta_mean
search,step2000_vs_step0,32,0.96875,0.90625,5.570088461503816,9.974694802423162,12.092022637601826,-0.6667335567553149,0.7532911617308855,0.032715148501554304,-0.546821543374487,-2.985952027142048
search,step2000_vs_step50,32,1.0,0.59375,6.133848627378094,1.8746786412197047,3.722573116281936,6.338524006262596,-10.03510513715446,0.046980401596092444,0.20223060303639306,-0.18857979774475098
shadow,step2000_vs_step0,32,1.0,0.84375,6.263179666453968,10.885962256967884,12.23426152163006,-0.4684801956747211,0.7665550941601396,0.03664344309696129,-0.5313734786565572,-2.051701432093978
shadow,step2000_vs_step50,32,1.0,0.59375,6.477248257898671,2.083183559164702,3.940465287898192,6.431180906886456,-10.52321407571435,0.055640599443292124,0.21403775864746408,0.07063178159296513
