affected_anchor_loss,anchor_loss,boundary_anchor_loss,cell,dpo_loss,effective_loser_gap,finite,loser_contribution_ratio,loser_gap,loser_policy_loss,loser_reference_loss,loss,object_anchor_loss,outside_anchor_loss,overlap_anchor_loss,prediction_type,preference_margin,same_noise,same_timestep,sample_id,split,winner_gap,winner_policy_loss,winner_reference_loss
0.07154719531536102,0.04134902358055115,0.07878169417381287,R5_Q2_T500_S0,0.6931471824645996,0.0,,0.0,0.0,0.09832454472780228,0.09832454472780228,0.7344962358474731,0.07814852148294449,0.03128751367330551,0.0762229636311531,v_prediction,0.0,True,True,BLENDER_CON001_00636,train4,0.0,0.07814852148294449,0.07814852148294449
0.12788616120815277,0.04740319773554802,0.08345916122198105,R5_Q2_T500_S0,0.6931471824645996,0.0,,0.0,0.0,0.10903956741094589,0.10903956741094589,0.7405503988265991,0.07967662811279297,0.02672402933239937,0.07637092471122742,v_prediction,0.0,True,True,BLENDER_CON001_00843,train4,0.0,0.07967662811279297,0.07967662811279297
0.319392591714859,0.10922401398420334,0.21954500675201416,R5_Q2_T500_S0,0.6931471824645996,0.0,,0.0,0.0,0.09176816046237946,0.09176816046237946,0.8023712038993835,0.13774462044239044,0.10403963178396225,0.13449715077877045,v_prediction,0.0,True,True,REAL_ENV219_00001_003_05,train4,0.0,0.13774462044239044,0.13774462044239044
0.060283660888671875,0.04985383525490761,0.07961949706077576,R5_Q2_T500_S0,0.6931471824645996,0.0,,0.0,0.0,0.11112344264984131,0.11112344264984131,0.7430010437965393,0.10369718819856644,0.05514528974890709,0.1066553145647049,v_prediction,0.0,True,True,REAL_ENV259_00102_002_04,train4,0.0,0.10369718819856644,0.10369718819856644
0.0,0.017512576654553413,0.03981173783540726,R5_Q2_T500_S0,0.6931455135345459,-0.0,True,0.0,-7.290393114089966e-05,0.08719649910926819,0.08712359517812729,0.710658073425293,0.040971916168928146,0.018988117575645447,0.03696541488170624,v_prediction,3.254786133766174e-05,True,True,BLENDER_CON001_00742,heldout4,3.254786133766174e-05,0.040971916168928146,0.04100446403026581
0.0,0.026588665321469307,0.06451167911291122,R5_Q2_T500_S0,0.6931441426277161,-0.0,True,0.0,-1.825392246246338e-05,0.10685984790325165,0.10684159398078918,0.7197328209877014,0.07633092254400253,0.022104287520051003,0.04712260141968727,v_prediction,6.045401096343994e-05,True,True,BLENDER_CON001_00744,heldout4,6.045401096343994e-05,0.07633092254400253,0.07639137655496597
0.05864927917718887,0.031412117183208466,0.04836254194378853,R5_Q2_T500_S0,0.6931474208831787,0.0,True,0.0,1.882016658782959e-05,0.07579050213098526,0.07580932229757309,0.7245595455169678,0.04129067063331604,0.059388235211372375,0.054832763969898224,v_prediction,-4.112720489501953e-06,True,True,REAL_ENV102_00001_002_02,heldout4,-4.112720489501953e-06,0.04129067063331604,0.04128655791282654
0.06321323662996292,0.029330994933843613,0.04795527458190918,R5_Q2_T500_S0,0.6931495070457458,0.0,True,0.0,9.112805128097534e-05,0.07156386226415634,0.07165499031543732,0.7224804759025574,0.046960558742284775,0.027069298550486565,0.05608929321169853,v_prediction,-4.659220576286316e-05,True,True,REAL_ENV200_00001_006_02,heldout4,-4.659220576286316e-05,0.046960558742284775,0.04691396653652191
0.07154719531536102,0.04134902358055115,0.07878169417381287,R5_HALF_Q2_T500_S0,0.6931471824645996,0.0,,0.0,0.0,0.09832454472780228,0.09832454472780228,0.7344962358474731,0.07814852148294449,0.03128751367330551,0.0762229636311531,v_prediction,0.0,True,True,BLENDER_CON001_00636,train4,0.0,0.07814852148294449,0.07814852148294449
0.12788616120815277,0.04740319773554802,0.08345916122198105,R5_HALF_Q2_T500_S0,0.6931471824645996,0.0,,0.0,0.0,0.10903956741094589,0.10903956741094589,0.7405503988265991,0.07967662811279297,0.02672402933239937,0.07637092471122742,v_prediction,0.0,True,True,BLENDER_CON001_00843,train4,0.0,0.07967662811279297,0.07967662811279297
0.319392591714859,0.10922401398420334,0.21954500675201416,R5_HALF_Q2_T500_S0,0.6931471824645996,0.0,,0.0,0.0,0.09176816046237946,0.09176816046237946,0.8023712038993835,0.13774462044239044,0.10403963178396225,0.13449715077877045,v_prediction,0.0,True,True,REAL_ENV219_00001_003_05,train4,0.0,0.13774462044239044,0.13774462044239044
0.060283660888671875,0.04985383525490761,0.07961949706077576,R5_HALF_Q2_T500_S0,0.6931471824645996,0.0,,0.0,0.0,0.11112344264984131,0.11112344264984131,0.7430010437965393,0.10369718819856644,0.05514528974890709,0.1066553145647049,v_prediction,0.0,True,True,REAL_ENV259_00102_002_04,train4,0.0,0.10369718819856644,0.10369718819856644
