split,sample_id,source_group,profile,noise_index,timestep_index,noise_seed,t,winner_full_residual,winner_mask_residual,winner_boundary_residual,winner_affected_residual,winner_local_residual,winner_outside_residual,winner_pred_norm,winner_target_norm,winner_noise_norm,winner_z0_norm,loser_full_residual,loser_mask_residual,loser_boundary_residual,loser_affected_residual,loser_local_residual,loser_outside_residual,loser_pred_norm,loser_target_norm,loser_noise_norm,loser_z0_norm,winner_local_score,loser_local_score,preference_margin_proxy,preference_violation_proxy,outside_sanity_residual,gradient_proxy_norm
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,0,0,20260628,0.05,2.8491718769073486,0.45696526765823364,1.0853592157363892,4.974401473999023,4.935028076171875,1.813527226448059,1033.7548828125,757.2008666992188,572.6775512695312,495.32012939453125,2.8564794063568115,0.8146278262138367,1.1273040771484375,5.022543907165527,4.982715129852295,1.8095800876617432,1028.64990234375,748.9390258789062,572.6775512695312,482.4098205566406,5.974046349525452,6.400823771953583,0.4267774224281311,-0.4267774224281311,1.813527226448059,3.57793900785175
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,0,1,20260628,0.15,1.4342784881591797,0.15159322321414948,0.6173908710479736,3.9958112239837646,3.9616386890411377,0.41482123732566833,892.6342163085938,757.2008666992188,572.6775512695312,495.32012939453125,1.4375056028366089,0.4205363988876343,0.6890720725059509,4.009379863739014,3.975801706314087,0.41448765993118286,885.3920288085938,748.9390258789062,572.6775512695312,482.4098205566406,4.456099882721901,4.774452298879623,0.3183524161577225,-0.3183524161577225,0.41482123732566833,3.0901301910695036
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,0,2,20260628,0.25,0.9188600778579712,0.08196533471345901,0.45131590962409973,2.9147214889526367,2.889960765838623,0.17654913663864136,832.3164672851562,757.2008666992188,572.6775512695312,495.32012939453125,0.9250990152359009,0.2387593537569046,0.537581205368042,2.9387624263763428,2.9148406982421875,0.17643646895885468,824.6649169921875,748.9390258789062,572.6775512695312,482.4098205566406,3.2223447784781456,3.4463123828172684,0.22396760433912277,-0.22396760433912277,0.17654913663864136,2.6253808801075964
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,0,3,20260628,0.35,0.587317168712616,0.05970974266529083,0.3373700678348541,1.9425466060638428,1.9265029430389404,0.09490381181240082,792.6275024414062,757.2008666992188,572.6775512695312,495.32012939453125,0.6021831631660461,0.18194949626922607,0.43998533487319946,2.001054286956787,1.9857563972473145,0.09487634897232056,786.11376953125,748.9390258789062,572.6775512695312,482.4098205566406,2.1709413826465607,2.402996450662613,0.23205506801605225,-0.23205506801605225,0.09490381181240082,2.192257489740935
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,0,4,20260628,0.5,0.3292698264122009,0.054063018411397934,0.24492277204990387,1.111760139465332,1.1031291484832764,0.048578254878520966,761.7683715820312,757.2008666992188,572.6775512695312,495.32012939453125,0.34096014499664307,0.19020219147205353,0.3495861291885376,1.1577807664871216,1.1499720811843872,0.04836186766624451,755.5656127929688,748.9390258789062,572.6775512695312,482.4098205566406,1.288284543901682,1.522776022553444,0.234491478651762,-0.234491478651762,0.048578254878520966,1.7451510092559004
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,0,5,20260628,0.65,0.20905649662017822,0.06113727018237114,0.2162148654460907,0.7114748954772949,0.7066054344177246,0.029419831931591034,749.6475830078125,757.2008666992188,572.6775512695312,495.32012939453125,0.2161816656589508,0.2129705846309662,0.28268706798553467,0.7394848465919495,0.7350277900695801,0.02936428412795067,743.5440673828125,748.9390258789062,572.6775512695312,482.4098205566406,0.8807195983827114,1.093798965215683,0.21307936683297157,-0.21307936683297157,0.029419831931591034,1.479053051932677
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,0,6,20260628,0.8,0.14522336423397064,0.1168910562992096,0.2462526261806488,0.4966951310634613,0.4942236542701721,0.019624579697847366,744.58447265625,757.2008666992188,572.6775512695312,495.32012939453125,0.14739897847175598,0.24818436801433563,0.21930570900440216,0.5061085224151611,0.5032513737678528,0.01962798647582531,740.0132446289062,748.9390258789062,572.6775512695312,482.4098205566406,0.7367125004529953,0.8639457449316978,0.12723324447870255,-0.12723324447870255,0.01962798647582531,1.3144928641355935
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,0,7,20260628,0.95,0.11964333057403564,0.6195067763328552,0.49280813336372375,0.4166524112224579,0.41650792956352234,0.01433457899838686,737.7286987304688,757.2008666992188,572.6775512695312,495.32012939453125,0.11315251886844635,0.4038538336753845,0.26236021518707275,0.39157360792160034,0.3899398744106293,0.014320469461381435,737.5547485351562,748.9390258789062,572.6775512695312,482.4098205566406,1.282563254237175,0.9266075491905212,-0.35595570504665375,0.35595570504665375,0.01433457899838686,1.6016012326650944
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,1,0,20269801,0.05,2.8424413204193115,0.4623514711856842,1.07904851436615,4.96243143081665,4.922354221343994,1.8143996000289917,1032.537841796875,757.4993286132812,572.330322265625,495.32012939453125,2.849104404449463,0.8266951441764832,1.1340099573135376,5.010335445404053,4.970385551452637,1.8093640804290771,1027.2210693359375,749.0640869140625,572.330322265625,482.4098205566406,5.9643071591854095,6.404035568237305,0.43972840905189514,-0.43972840905189514,1.8143996000289917,3.5788365618556277
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,1,1,20269801,0.15,1.427610993385315,0.15411376953125,0.6022807359695435,3.971302032470703,3.9364395141601562,0.41508322954177856,892.2047729492188,757.4993286132812,572.330322265625,495.32012939453125,1.4352493286132812,0.4294664263725281,0.6901309490203857,4.002281188964844,3.9681549072265625,0.41469570994377136,885.4681396484375,749.0640869140625,572.330322265625,482.4098205566406,4.426556169986725,4.776813089847565,0.35025691986083984,-0.35025691986083984,0.41508322954177856,3.0908940744863984
