winner_policy_loss,loser_policy_loss,winner_reference_loss,loser_reference_loss,winner_policy_mask,loser_policy_mask,winner_policy_outside,loser_policy_outside,win_gap,lose_gap,preference_margin,linear_utility,winner_anchor_loss,outside_loss,loss,sdpo_lambda,force_winner_sft,noise_seed,t,grad_norm,grad_max_abs,grad_tensors,recipe,recipe_name,phase,step,sample_id,source_group,finite
0.6737146377563477,0.7302703261375427,0.6737146377563477,0.7302703261375427,0.08241903781890869,0.2559981644153595,0.9338747262954712,0.9365162253379822,0.0,0.0,0.0,0.5,0.03368573263287544,0.01870390772819519,0.7455368041992188,1.0,False,20315666,0.25,27.258033563716218,1.15625,461,R1,LocalDPO-Linear-HardNoise,linear_dpo,1,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,True
0.05524373799562454,0.0612364262342453,0.05433657392859459,0.06039120629429817,0.25432223081588745,0.334602028131485,0.018885444849729538,0.018913649022579193,-0.000907164067029953,-0.0008452199399471283,-6.194412708282471e-05,0.4997769892215729,0.0027621870394796133,0.00037799091660417616,0.6967335343360901,1.0,False,20261637,0.25,2.44877863499188,0.162109375,461,R1,LocalDPO-Linear-HardNoise,linear_dpo,2,BLENDER_FOREST049_00001,BLENDER_FOREST049,True
0.17555217444896698,0.1850908398628235,0.17440956830978394,0.17498578131198883,0.15525969862937927,0.17452195286750793,0.20294331014156342,0.2031896710395813,-0.0011426061391830444,-0.010105058550834656,0.008962452411651611,0.5322648286819458,0.008777609094977379,0.004061329644173384,0.643453061580658,1.0,False,20280992,0.25,19.43369567328357,0.84765625,461,R1,LocalDPO-Linear-HardNoise,linear_dpo,3,BLENDER_OFFICE002_00001,BLENDER_OFFICE002,True
0.29680952429771423,0.31532859802246094,0.29234418272972107,0.3038627803325653,0.18528588116168976,0.22193050384521484,0.3317149579524994,0.3258075714111328,-0.004465341567993164,-0.01146581768989563,0.007000476121902466,0.5252017378807068,0.014840476214885712,0.0065752253867685795,0.6653885245323181,1.0,False,20291174,0.25,12.281615924418459,0.5078125,461,R1,LocalDPO-Linear-HardNoise,linear_dpo,4,BLENDER_RIVER005_00001,BLENDER_RIVER005,True
0.04239964485168457,0.05245009437203407,0.03978903591632843,0.04836657643318176,0.15838566422462463,0.35666775703430176,0.030315447598695755,0.03040488064289093,-0.00261060893535614,-0.00408351793885231,0.00147290900349617,0.5053024888038635,0.0021199823822826147,0.0006072032847441733,0.6853252053260803,1.0,False,20283010,0.35,5.54982560568414,0.421875,461,R1,LocalDPO-Linear-HardNoise,linear_dpo,5,BLENDER_GRASS001_00001,BLENDER_GRASS001,True
0.30405229330062866,0.2887048125267029,0.29823264479637146,0.2699410021305084,0.34666088223457336,0.35121628642082214,0.16972385346889496,0.16251511871814728,-0.005819648504257202,-0.018763810396194458,0.012944161891937256,0.5465989708900452,0.015202614478766918,0.0033223896753042936,0.6225649118423462,1.0,False,20329884,0.25,10.327008068622332,0.3125,461,R1,LocalDPO-Linear-HardNoise,linear_dpo,6,BLENDER_RIVER002_00001,BLENDER_RIVER002,True
0.3795227110385895,0.385454922914505,0.3546120226383209,0.3578030467033386,0.2608887255191803,0.7871770858764648,0.3806653916835785,0.3832949995994568,-0.024910688400268555,-0.027651876211166382,0.002741187810897827,0.5098682641983032,0.018976135179400444,0.007639603223651648,0.7002186179161072,1.0,False,20330893,0.25,3.0732980252781172,0.0813346654176712,461,R1,LocalDPO-Linear-HardNoise,linear_dpo,7,BLENDER_MOUNTAIN008_00001,BLENDER_MOUNTAIN008,True
0.09500055015087128,0.12363575398921967,0.0863642692565918,0.09747597575187683,0.18338973820209503,0.3260035812854767,0.0727287158370018,0.07484544068574905,-0.00863628089427948,-0.026159778237342834,0.017523497343063354,0.563084602355957,0.004750027786940336,0.0014757415046915412,0.5805511474609375,1.0,False,20295210,0.25,10.522545133691835,0.45703125,461,R1,LocalDPO-Linear-HardNoise,linear_dpo,8,BLENDER_MOUNTAIN001_00001,BLENDER_MOUNTAIN001,True
0.4440750479698181,0.5153279900550842,0.39495158195495605,0.4013214707374573,0.43196260929107666,0.6034988164901733,0.34277090430259705,0.3469598591327667,-0.04912346601486206,-0.11400651931762695,0.06488305330276489,0.7335789799690247,0.022203752771019936,0.006897307466715574,0.33892107009887695,1.0,False,20287046,0.25,18.541062616232974,1.1354451179504395,461,R1,LocalDPO-Linear-HardNoise,linear_dpo,9,BLENDER_RIVER004_00001,BLENDER_RIVER004,True
0.172458216547966,0.17805764079093933,0.15886734426021576,0.15803587436676025,0.20910730957984924,0.24689142405986786,0.10413211584091187,0.10025238990783691,-0.013590872287750244,-0.020021766424179077,0.006430894136428833,0.5231512188911438,0.0086229108273983,0.00204384489916265,0.6585514545440674,1.0,False,20288055,0.25,8.336209185104657,0.37109375,461,R1,LocalDPO-Linear-HardNoise,linear_dpo,10,BLENDER_MOUNTAIN011_00001,BLENDER_MOUNTAIN011,True
0.6737146377563477,0.7302703261375427,0.6737146377563477,0.7302703261375427,0.08241903781890869,0.2559981644153595,0.9338747262954712,0.9365162253379822,0.0,0.0,0.0,0.5,0.03368573263287544,0.01870390772819519,0.7455368041992188,0.8379839265496272,False,20315666,0.25,25.362217993206638,0.6464583873748779,461,R2,LocalDPO-Linear-SDPO,linear_dpo,1,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,True
0.053069304674863815,0.05931270495057106,0.05433657392859459,0.06039120629429817,0.24805012345314026,0.3315776288509369,0.017365628853440285,0.017375944182276726,0.001267269253730774,0.0010785013437271118,0.00036350247683003545,0.5013086199760437,0.002653465373441577,0.00034741571289487183,0.693534255027771,0.8379839265496272,False,20261637,0.25,2.688706512329832,0.19140625,461,R2,LocalDPO-Linear-SDPO,linear_dpo,2,BLENDER_FOREST049_00001,BLENDER_FOREST049,True
