video,label,psnr,ssim,mask_bbox_psnr,strict_mask_psnr,boundary_psnr,lpips,ewarp,residual_scale,confidence_exponent,psnr_delta_vs_exp11,ewarp_delta_vs_exp11,lpips_delta_vs_exp11,strict_mask_psnr_delta_vs_exp11,boundary_psnr_delta_vs_exp11,flow_flow_conf_mean,flow_valid_flow_ratio,flow_mean_flow_magnitude,flow_gate_mean,flow_gate_p10,flow_gate_p50,flow_gate_p90,flow_nonzero_gate_ratio
blackswan,Exp19R0,32.8947510870174,0.9673475724557914,24.490599386176058,21.855767106124734,27.193074454813587,0.01729785984692474,4.843429409210448,2.0,0.5,-0.0002870047026277689,4.2010746571286006e-05,-1.7191826676352107e-06,-0.0002870047026348743,-8.435013602792196e-05,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
car-roundabout,Exp19R0,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
dance-jump,Exp19R0,34.43669090254482,0.9820320353612555,26.339359247875976,22.709575718501814,26.723856775680847,0.011158142626906434,4.1119325501115425,2.0,1.0,-8.656342966162356e-05,9.354730339161677e-05,-2.3761919389179986e-06,-8.656342965451813e-05,-0.00027133437819770734,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
dog-agility,Exp19R0,27.03666166599805,0.9574499895878595,20.36665368338828,17.335679499408656,26.656780268519157,0.02393448050133884,23.18444232577863,2.0,1.0,4.7637673809219905e-05,0.0007770874578021392,-4.362664185464382e-06,4.763767380566719e-05,0.0005777238555992881,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
flamingo,Exp19R0,33.96394508166077,0.9882868254598085,22.64984981979234,20.113307636600585,23.97380340673759,0.0080880974419415,3.624308570895506,2.0,1.0,-0.000285406379397557,-5.0473634315206795e-05,-4.7738236996029e-06,-0.0002854063794011097,0.0011670856693690723,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
blackswan,Exp19R0,32.89459829296658,0.9673463296519964,24.490446592125238,21.855614312073914,27.192925068593624,0.01729725654392193,4.843435219853469,2.0,1.0,-0.00043979875344746233,4.7821389592250796e-05,-2.3224856704473495e-06,-0.00043979875345456776,-0.00023373635599099885,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
car-roundabout,Exp19R0,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
dance-jump,Exp19R0,34.4368734303934,0.9820326602403157,26.339541775724555,22.70975824635039,26.72340900367027,0.011158571112900972,4.111880011370649,2.0,2.0,9.596441891801533e-05,4.100856249777962e-05,-1.947705944379749e-06,9.596441892156804e-05,-0.0007191063887752591,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
dog-agility,Exp19R0,27.03570904811619,0.9574377398036908,20.365701065506425,17.334726881526798,26.655978957729747,0.02394279115833342,23.18366665555083,2.0,2.0,-0.0009049802080518532,1.4172300026871198e-06,3.94799280911684e-06,-0.0009049802080518532,-0.00022358693381008266,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
flamingo,Exp19R0,33.96474666779375,0.9882890971499613,22.65065140592532,20.11410922273357,23.97394411057353,0.008091049559880048,3.6243463400751352,2.0,2.0,0.0005161797535819801,-1.2704454686041089e-05,-1.8217057610545734e-06,0.0005161797535855328,0.0013077895053079658,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
blackswan,Exp19R0,32.894835626838145,0.9673489271031283,24.49068392599681,21.85585164594549,27.19289405330608,0.017289096023887396,4.843446729785722,2.0,2.0,-0.00020246488188035983,5.933132184487988e-05,-1.0483005704980258e-05,-0.00020246488188035983,-0.0002647516435345665,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
car-roundabout,Exp19R0,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
dance-jump,Exp19R0,34.43730190456061,0.982035113564134,26.339970249891767,22.71018672051761,26.723137407661923,0.011162607464939356,4.111944211889868,4.0,0.5,0.000524438586133158,0.0001052090817168505,2.088646094003735e-06,0.0005244385861402634,-0.0009907023971216233,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
dog-agility,Exp19R0,27.0364923485749,0.9574491800063996,20.366484365965132,17.335510181985505,26.656113456282217,0.02394049948391815,23.183243835101955,4.0,0.5,-0.00012167974934129688,-0.0004214032188727401,1.6563183938451964e-06,-0.0001216797493448496,-8.908838134047414e-05,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
flamingo,Exp19R0,33.96468679408315,0.9882895054258612,22.65059153221472,20.11404934902297,23.973590347415236,0.008086410137669494,3.624306090742998,4.0,0.5,0.00045630604298452226,-5.295378682346197e-05,-6.461127971608277e-06,0.00045630604298452226,0.0009540263470135812,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
blackswan,Exp19R0,32.89491890056389,0.9673479227709008,24.49076719972255,21.855934919671228,27.192936820791317,0.017295238096266985,4.843424580505361,4.0,0.5,-0.00011919115613778786,3.718204148395188e-05,-4.3409333253911775e-06,-0.00011919115614134057,-0.00022198415829777218,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
car-roundabout,Exp19R0,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
dance-jump,Exp19R0,34.437150676473145,0.9820355125402305,26.339819021804306,22.710035492430137,26.722961945910583,0.011164314191167554,4.111846919050035,4.0,1.0,0.00037321049866534395,7.916241884231567e-06,3.795372322201729e-06,0.00037321049866889666,-0.0011661641484614904,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
dog-agility,Exp19R0,27.036558551824147,0.9574506052005548,20.366550569214375,17.335576385234756,26.655987247335123,0.0239333954329292,23.184717430368714,4.0,1.0,-5.547650009418703e-05,0.0010521920478865354,-5.4477325951048094e-06,-5.547650009418703e-05,-0.00021529732843461602,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
flamingo,Exp19R0,33.964048050010426,0.9882877788847472,22.64995278814199,20.113410604950243,23.973014218781042,0.008093566594955822,3.6242888106600097,4.0,1.0,-0.0001824380297392736,-7.023386981153124e-05,6.953293147198003e-07,-0.0001824380297428263,0.0003778977128199301,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
blackswan,Exp19R0,32.894028465346274,0.9673455520005021,24.489876764504938,21.855044484453614,27.19283883110437,0.017295176396146417,4.843465325868,4.0,1.0,-0.0010096263737509048,7.792740412337906e-05,-4.402633445959453e-06,-0.0010096263737544575,-0.0003199738452437373,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
car-roundabout,Exp19R0,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
dance-jump,Exp19R0,34.43662713397321,0.9820324951026466,26.339295479304372,22.709511949930206,26.72323934092437,0.011161286965943873,4.111769244722698,4.0,2.0,-0.00015033200126879365,-6.975808545295337e-05,7.681470985208133e-07,-0.00015033200126168822,-0.0008887691346757265,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
dog-agility,Exp19R0,27.036634706991673,0.9574526159987066,20.366626724381906,17.335652540402283,26.656630050291273,0.023937001281107467,23.183367174604665,4.0,2.0,2.067866743260538e-05,-0.00029806371616203364,-1.8418844168373305e-06,2.067866743260538e-05,0.00042750562771587397,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
