affected_psnr_delta,better,boundary_psnr_delta,cell,checkpoint,checkpoint_exists,full_psnr_delta,lambda_loser_global,loser_contribution_ratio,max_param_delta_norm,object_psnr_delta,outside_l1_delta,outside_psnr_delta,overlap_psnr_delta,peak_vram_allocated_gib,runtime_sec,selected_scale,ssim_delta,status,step0_step1_l1,temporal_flicker_delta,tie,tone_drift,transition_safe_pass,update_rejected,winner_gap,worse
-0.21388915993118474,1,-0.12439151843479657,ATS0_Q2_T500_S0,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_forward/ATS0_Q2_T500_S0/checkpoints/ATS0_Q2_T500_S0_adapter_step1.pt,True,-0.11349536343525735,0.04692554678451062,0.5299456180835008,0.005661578383296728,-0.5988851505127588,-2.6201033809532433e-05,-0.007378336883800962,-0.5932891259368915,19.98512363433838,669.0853445082903,1.0,-0.00013794197354016768,NEGATIVE,0.009010485257022083,1.0389289973713713e-05,0,-0.0001398356144860147,True,False,9.360164403915405e-05,3
-0.1463215678596077,1,-0.0816169851734605,ATS_STRICT_Q2_T500_S0,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_forward/ATS_STRICT_Q2_T500_S0/checkpoints/ATS_STRICT_Q2_T500_S0_adapter_step1.pt,True,-0.0940410087959167,0.01877021871380425,0.5301923349336045,0.00566148804500699,-0.47342779337691976,-2.1654996089636412e-05,-0.005963320529144944,-0.5811415277335978,19.98512363433838,670.1610249821097,1.0,-0.00012779361952716672,NEGATIVE,0.008995627785528388,2.6328813439012433e-05,0,-2.7637261904173485e-05,True,False,7.956176705192775e-05,3
-0.16028515603120042,0,-0.15083682801767218,ATS_HALFLR_Q2_T500_S0,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_forward/ATS_HALFLR_Q2_T500_S0/checkpoints/ATS_HALFLR_Q2_T500_S0_adapter_step1.pt,True,-0.10462429192005285,0.01877021871380425,0.823812217824864,0.0026317995507270098,-0.7730725610887177,-3.245102319245508e-05,-0.002763230240495851,-0.7073659121220413,19.98512363433838,670.9944649524987,1.0,-0.00014831692563138654,NEGATIVE,0.00900656942879626,2.8073530262665063e-05,0,-5.215126736515406e-05,True,False,-5.5149941090348875e-05,4
-0.2336633457413404,0,-0.12305312908254962,ATS_NODPO_Q2_T500_S0,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp57_void_adaptive_transition_h20/adaptive_forward/ATS_NODPO_Q2_T500_S0/checkpoints/ATS_NODPO_Q2_T500_S0_adapter_step1.pt,True,-0.09442309914042823,0.0,0.0,0.00566121144220233,-0.7863773958129094,-2.9002820762495055e-05,-0.0014182090614793808,-0.5639978387834459,19.98512363433838,717.1842433586717,1.0,-0.0001395002358970665,NEGATIVE,0.00900726789647403,3.267681542796626e-05,0,-1.745624130088043e-05,True,False,0.0,4
