split,comparison,candidate,baseline,three_seed_candidate_mean,three_seed_candidate_std,seed_win_count,n_videos,mean_delta,median_delta,ci_low,ci_high,prob_delta_gt_0,per_video_win_rate,sign_wins,sign_total,sign_test_one_sided_p,leave_one_out_min,leave_one_out_max
search,P4-P0,P4,P0,29.377910782877194,0.01293919430168043,3,16,0.021228612074388753,0.02034099287750557,0.005862427172528751,0.03760391440796772,0.9959,0.8125,13,16,0.0106353759765625,0.016506370481556114,0.026040042380956644
search,BF07-P0,BF07,P0,29.38009159380631,0.010601559463328693,3,16,0.02340942300350246,0.023169214995078846,-0.016107539064894743,0.0600199661223675,0.8865,0.8125,13,16,0.0106353759765625,0.01284890656814876,0.03703343710031201
search,BF07-P4,BF07,P4,29.38009159380631,0.010601559463328693,2,16,0.002180810929113708,0.006988113963556586,-0.02204746370258533,0.02338815953193625,0.591,0.625,10,16,0.2272491455078125,-0.003657463913407355,0.010993394719355365
search,P4-Exp11-S1,P4,Exp11-S1,29.377910782877194,0.01293919430168043,3,16,0.04436956941614456,0.08502800340188976,-0.032745299849976775,0.12172061886646637,0.8652,0.6875,11,16,0.1050567626953125,0.023255426869132616,0.062063304825293625
search,BF07-Exp11-S1,BF07,Exp11-S1,29.38009159380631,0.010601559463328693,3,16,0.04655038034525827,0.09996758221780944,-0.0312690336774914,0.11743817172169531,0.8824,0.6875,11,16,0.1050567626953125,0.03424882158848798,0.06801070639439691
search,P4-Exp11-S2,P4,Exp11-S2,29.377910782877194,0.01293919430168043,3,16,0.022538337655789942,0.06619477856517797,-0.05525742483814014,0.10026702137903161,0.7183,0.6875,11,16,0.1050567626953125,0.0017537626227124292,0.03998018426813701
search,BF07-Exp11-S2,BF07,Exp11-S2,29.38009159380631,0.010601559463328693,3,16,0.02471914858490365,0.09157842159088503,-0.05304613267202738,0.09548683395478356,0.7473,0.6875,11,16,0.1050567626953125,0.012747157342067795,0.045453749468910586
shadow,P4-P0,P4,P0,29.416158124252217,0.057094001874691866,0,20,-0.013812173822624629,0.020230897738942488,-0.07430329528690229,0.02394324707846374,0.3531,0.65,13,20,0.13158798217773438,-0.018166935798965847,0.013094397050759193
shadow,BF07-P0,BF07,P0,29.371828611748793,0.048729002486491306,0,20,-0.05814168632605217,0.014916018224420569,-0.19892346307912298,0.02724126432053075,0.2267,0.6,12,20,0.2517223358154297,-0.06738916527693299,0.005353842032294895
shadow,BF07-P4,BF07,P4,29.371828611748793,0.048729002486491306,0,20,-0.04432951250342754,-0.004833684528030346,-0.12482313556545707,0.003566355587298971,0.0577,0.4,8,20,0.8684120178222656,-0.04922222947796715,-0.0077405550184642975
shadow,P4-Exp11-S1,P4,Exp11-S1,29.416158124252217,0.057094001874691866,0,20,-0.08461974593950394,-0.0045099513660744606,-0.21379557092282392,0.017707889257708487,0.0666,0.5,10,20,0.5880985260009766,-0.10006467063604288,-0.03825355456117326
shadow,BF07-Exp11-S1,BF07,Exp11-S1,29.371828611748793,0.048729002486491306,0,20,-0.12894925844293148,0.008693879308733443,-0.3305412233231332,0.01331564428391105,0.0514,0.55,11,20,0.41190147399902344,-0.14865398628877327,-0.04599410957963756
shadow,P4-Exp11-S2,P4,Exp11-S2,29.416158124252217,0.057094001874691866,0,20,-0.10556951825473053,-0.02527268548904793,-0.22955194607219695,-0.005625614630829827,0.0186,0.4,8,20,0.8684120178222656,-0.11957149133275018,-0.06370375926222661
shadow,BF07-Exp11-S2,BF07,Exp11-S2,29.371828611748793,0.048729002486491306,0,20,-0.14989903075815808,-0.025124883995294667,-0.3433495783749093,-0.01022887340216798,0.0131,0.4,8,20,0.8684120178222656,-0.16816080698548058,-0.07144431428069091
