trial_id,family,radius_mode,radius_value,adaptive_k,boundary_contribution,aggregation,seed,train_steps,psnr,ssim,lpips,vfid_or_fvd,tc,ewarp,mask_psnr,boundary_psnr,delta_vs_sft,delta_vs_exp11_s1,delta_vs_exp11_s2,loser_degrade_ratio,max_grad_norm,target_reached,status,checkpoint_path
EQ_BF07,equal_step,fixed_image_px,28.0,0.0,5.0,legacy_global_weighted_mean,20260619,,29.393079237070907,0.9689934193420773,0.01844142305283943,0.2328873789223107,0.9759301629079425,11.967786727322874,17.08776794455848,22.947160397650773,0.21974323707090804,0.059538237070906774,0.03770723707090795,1.0,9.833435543869474,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/EQ_BF07_2bc98e58514fb1da/last_weights
P4,first_wave,fixed_image_px,16,,,,,104,29.390553012940543,0.9690742585563359,0.018197778345590148,0.2320738979050092,0.9760397620823072,11.994790353326053,17.085241720428115,22.946998892597563,0.2172170129405444,0.057012012940543144,0.03518101294054432,,10.108538435033218,False,,
EQ_P4,equal_step,fixed_image_px,16.0,0.0,2.0,legacy_global_weighted_mean,20260619,,29.389915628897423,0.9690315239023087,0.018072267881507287,0.22793052368306155,0.9760408338321291,11.99381688433198,17.084604336385,22.9665667880521,0.21657962889742421,0.05637462889742295,0.03454362889742413,1.0,10.067414061759019,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/EQ_P4_edbea07bb785e769/last_weights
EQ_AD04,equal_step,adaptive_sqrt_area,0.0,0.103897,2.0,legacy_global_weighted_mean,20260619,,29.387359434902027,0.9690293856109391,0.017981832729977516,0.22674857819114091,0.9760909759156082,12.002447594924256,17.082048142389603,22.969489085618314,0.21402343490202824,0.05381843490202698,0.031987434902028156,1.0,10.543710092542405,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/EQ_AD04_77a0ed002ad3955d/last_weights
P5,first_wave,fixed_image_px,24,,,,,103,29.38510251356829,0.9689927078190019,0.018433281965675025,0.23472817675812507,0.975934326486743,11.97695207077271,17.07979122105586,22.93062657520801,0.21176651356829268,0.05156151356829142,0.029730513568292594,,9.339770702981257,False,,
EQ_P0,equal_step,legacy_latent_exact,0.0,0.0,0.75,legacy_global_weighted_mean,20260619,,29.374471164869995,0.9689933514246992,0.01783926802818314,0.2236007971941274,0.9761364233234655,12.016644219329464,17.069159872357563,22.94747257125819,0.20113516486999572,0.040930164869994456,0.019099164869995633,1.0,13.179320250851323,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/EQ_P0_1d8cd54758b73251/last_weights
P3,first_wave,fixed_image_px,12,,,,,103,29.374159486063906,0.9690429748724029,0.018019714231437924,0.22900786537787354,0.9761735656015251,12.016267091261714,17.06884819355148,22.92356227174293,0.2008234860639071,0.040618486063905834,0.01878748606390701,,12.256456214395426,False,,
P0,first_wave,legacy_latent_exact,0,,,,,112,29.373851644730646,0.9689902612887167,0.017842101434628905,0.22362128267791448,0.9761308156277823,12.016762805298796,17.06854035221822,22.947117873560526,0.20051564473064687,0.040310644730645606,0.018479644730646783,,12.909133859544946,False,,
BF07,second_fixed_bestfirst,fixed_image_px,28.0,0.0,5.0,legacy_global_weighted_mean,20260619,,29.36988012021999,0.9688007121292902,0.018464719466768052,0.2309497459742853,0.9759516777551692,11.957150586923767,17.06456882770756,22.951337266951956,0.1965441202199898,0.03633912021998853,0.014508120219989706,1.0,9.772365902835933,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/BF07_48450b1aef0ae851/last_weights
P2,first_wave,fixed_image_px,8,,,,,103,29.366832739040365,0.96902147732869,0.017936074567842297,0.22778876794858727,0.9761258264922577,12.02535200141226,17.06152144652794,22.911304966661028,0.19349673904036635,0.03329173904036509,0.011460739040366263,,13.485430648574262,False,,
BF08,second_fixed_bestfirst,fixed_image_px,24.0,0.0,3.5,legacy_global_weighted_mean,20260619,,29.366428120430946,0.9687724300714879,0.018372064937769515,0.23083778639221686,0.9759066283054973,11.96338631281991,17.061116827918514,22.95412616200813,0.19309212043094703,0.03288712043094577,0.011056120430946947,1.0,9.150777742306897,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/BF08_b3957a980be094f6/last_weights
BF03,second_fixed_bestfirst,fixed_image_px,24.0,0.0,5.0,legacy_global_weighted_mean,20260619,,29.363525348268244,0.9688350153541403,0.018363566648986307,0.23014986713496777,0.9759684942014839,11.979235292805559,17.058214055755812,22.90823358999539,0.19018934826824463,0.029984348268243366,0.008153348268244542,0.0,9.130724234061395,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/BF03_0cdd70610b40f248/last_weights
BF05,second_fixed_bestfirst,fixed_image_px,32.0,0.0,5.0,legacy_global_weighted_mean,20260619,,29.36155949063812,0.9688021118785626,0.018468654299795162,0.23081796154826284,0.9759749948330547,11.972037477868941,17.056248198125687,22.898742433815293,0.18822349063811927,0.02801849063811801,0.006187490638119186,0.0,10.680906005892252,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/BF05_87f4a891ef54aa3b/last_weights
