candidate,fresh,metric,candidate_value,fresh_value,delta
candidate_s2_1000,fresh_s2_1000,PSNR,32.82064432485718,32.813556054914926,0.007088269942251202
candidate_s2_1000,fresh_s2_1000,SSIM,0.97141265274359,0.9709061953049166,0.0005064574386733911
candidate_s2_1000,fresh_s2_1000,LPIPS,0.015786708494221483,0.015848616766355312,-6.190827213382877e-05
candidate_s2_1000,fresh_s2_1000,Ewarp,7.115017013350988,7.142599570494063,-0.027582557143075448
candidate_s2_1000,fresh_s2_1000,strict_mask_PSNR,21.177194234312,21.170105964369753,0.007088269942247649
candidate_s2_1000,fresh_s2_1000,mask_region_SSIM,0.8013117083071113,0.7986912135940483,0.0026204947130630263
candidate_s2_1000,fresh_s2_1000,boundary_PSNR,26.367516445240934,26.392552128127384,-0.025035682886450417
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,PSNR,33.003535304721396,32.93300401740874,0.07053128731265446
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,SSIM,0.9725589806250126,0.9720830487373142,0.00047593188769834427
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,LPIPS,0.014645486280399684,0.015036639775886823,-0.00039115349548713915
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,Ewarp,7.140695131738144,7.1256949825455305,0.015000149192613499
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,strict_mask_PSNR,21.36008521417621,21.289553926863565,0.0705312873126438
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,mask_region_SSIM,0.8110118691795957,0.8063580781549474,0.004653791024648246
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,boundary_PSNR,26.528381049536154,26.463558437745533,0.06482261179062121
candidate_s2_1500,fresh_s2_1500,PSNR,32.96292351995774,32.95347909592827,0.009444424029467768
candidate_s2_1500,fresh_s2_1500,SSIM,0.9719076481539632,0.972217362847916,-0.0003097146939528006
candidate_s2_1500,fresh_s2_1500,LPIPS,0.015575602485138612,0.01523634334812717,0.00033925913701144186
candidate_s2_1500,fresh_s2_1500,Ewarp,7.133734824652176,7.08886048209894,0.044874342553236524
candidate_s2_1500,fresh_s2_1500,strict_mask_PSNR,21.319473429412568,21.3100290053831,0.009444424029467768
candidate_s2_1500,fresh_s2_1500,mask_region_SSIM,0.806310393574148,0.8080523054404051,-0.001741911866257051
candidate_s2_1500,fresh_s2_1500,boundary_PSNR,26.409807361709795,26.409746387777595,6.097393220017011e-05
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,PSNR,32.79955092869821,32.89306540354077,-0.09351447484255715
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,SSIM,0.9708357175542206,0.971446754142352,-0.0006110365881314417
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,LPIPS,0.015347149214940146,0.015344506543284904,2.6426716552424567e-06
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,Ewarp,7.121358982378455,7.123456367433233,-0.0020973850547783
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,strict_mask_PSNR,21.156100838153034,21.249615312995594,-0.0935144748425607
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,mask_region_SSIM,0.7972629285108053,0.801927499920466,-0.0046645714096607005
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,boundary_PSNR,26.373543072251973,26.431659590785287,-0.05811651853331412
candidate_s2_2000,fresh_s2_2000,PSNR,32.942394465783984,32.83900564767321,0.10338881811077272
candidate_s2_2000,fresh_s2_2000,SSIM,0.9720177381692835,0.9711850990733945,0.0008326390958890428
candidate_s2_2000,fresh_s2_2000,LPIPS,0.015520220987188318,0.015339569000255626,0.00018065198693269224
candidate_s2_2000,fresh_s2_2000,Ewarp,7.083796703600851,7.11762627687953,-0.033829573278679526
candidate_s2_2000,fresh_s2_2000,strict_mask_PSNR,21.29894437523881,21.19555555712803,0.10338881811077982
candidate_s2_2000,fresh_s2_2000,mask_region_SSIM,0.8059228226516687,0.7985993936785397,0.007323428973128987
candidate_s2_2000,fresh_s2_2000,boundary_PSNR,26.41087214183181,26.41036921496469,0.0005029268671208342
candidate_stage1_2000_sft_s2,fresh_stage1_2000_sft_s2,PSNR,32.83357641842925,32.878557455286995,-0.044981036857741685
candidate_stage1_2000_sft_s2,fresh_stage1_2000_sft_s2,SSIM,0.9709198324908503,0.9716823042614124,-0.0007624717705621009
candidate_stage1_2000_sft_s2,fresh_stage1_2000_sft_s2,LPIPS,0.015803307025538137,0.015340833815668399,0.0004624732098697376
candidate_stage1_2000_sft_s2,fresh_stage1_2000_sft_s2,Ewarp,7.1105603450585315,7.11322304478887,-0.0026626997303385025
candidate_stage1_2000_sft_s2,fresh_stage1_2000_sft_s2,strict_mask_PSNR,21.190126327884077,21.235107364741815,-0.04498103685773813
candidate_stage1_2000_sft_s2,fresh_stage1_2000_sft_s2,mask_region_SSIM,0.8003045828891402,0.8024279921457661,-0.0021234092566259077
candidate_stage1_2000_sft_s2,fresh_stage1_2000_sft_s2,boundary_PSNR,26.38423698879987,26.40159331609519,-0.017356327295320995
