asset,status,path,sha256
EffectErase.ckpt,ready,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp29_or_adapter_feasibility/effecterase_weight_recovery_20260626/FudanCVL/EffectErase/EffectErase.ckpt,4e9ace4607a348a0d820328f827f7f4f751a0e44d4cf60665c03e9740dfa024d
Wan2.1_VAE.pth,ready,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp29_or_adapter_feasibility/effecterase_weight_recovery_20260626/Wan-AI/Wan2.1-Fun-1.3B-InP/Wan2.1_VAE.pth,38071ab59bd94681c686fa51d75a1968f64e470262043be31f7a094e442fd981
diffusion_pytorch_model.safetensors,ready,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp29_or_adapter_feasibility/effecterase_weight_recovery_20260626/Wan-AI/Wan2.1-Fun-1.3B-InP/diffusion_pytorch_model.safetensors,8495d2b1673ffb18abb548a64ff3b0e4bd367734f653096f7a8a3ad46954d511
models_clip_open-clip-xlm-roberta-large-vit-huge-14.pth,ready,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp29_or_adapter_feasibility/effecterase_weight_recovery_20260626/Wan-AI/Wan2.1-Fun-1.3B-InP/models_clip_open-clip-xlm-roberta-large-vit-huge-14.pth,628c9998b613391f193eb67ff68da9667d75f492911e4eb3decf23460a158c38
models_t5_umt5-xxl-enc-bf16.pth,ready,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp29_or_adapter_feasibility/effecterase_weight_recovery_20260626/Wan-AI/Wan2.1-Fun-1.3B-InP/models_t5_umt5-xxl-enc-bf16.pth,7cace0da2b446bbbbc57d031ab6cf163a3d59b366da94e5afe36745b746fd81d
