model_label,video,frames,whole_video_psnr,whole_video_ssim,mask_region_psnr,mask_region_ssim,mask_bbox_psnr,mask_bbox_ssim,strict_mask_pixel_psnr,boundary_pixel_psnr,outside_diff_mean,outside_diff_max,outside_region_diff_mean,whole_video_lpips,ewarp
fresh_s2_1000,bear,24,34.78618130404882,0.9930926560320765,24.02492310534265,0.8778613348261208,24.02492310534265,0.8778613348261208,21.007129712405924,24.696477262427845,0.0,0.0,0.0,0.008793346991296858,3.088647003650017
fresh_s2_1000,blackswan,24,32.61258640269415,0.9640444138873095,24.20843470185281,0.7429555221404712,24.20843470185281,0.7429555221404712,21.573602421801485,27.476333838675032,0.0,0.0,0.0,0.016729146280946832,4.861979451759353
fresh_s2_1000,bmx-bumps,24,32.97636801537836,0.9828651471269447,25.83405886154618,0.889857466933945,25.83405886154618,0.889857466933945,22.960421345309385,27.07479485206274,0.0,0.0,0.0,0.01476699870545417,6.6518643061104035
fresh_s2_1000,bmx-trees,24,39.78131448135231,0.9965047177336054,29.03052541946121,0.8823409892863597,29.03052541946121,0.8823409892863597,25.74478204253983,29.35543382174515,0.0,0.0,0.0,0.005441758277205129,3.73401353135705
fresh_s2_1000,boat,24,25.95693462509767,0.9132976452612818,19.82603715903163,0.6580958361769002,19.82603715903163,0.6580958361769002,18.08167763523099,25.479668889315892,0.0,0.0,0.0,0.04271004473169645,3.269890049958359
fresh_s2_1000,breakdance,24,26.207939228712338,0.9623278327445783,16.956038757687587,0.6598445800964748,16.956038757687587,0.6598445800964748,13.498611714102935,18.258897315658924,0.0,0.0,0.0,0.020874069693187874,7.299841563824726
fresh_s2_1000,breakdance-flare,24,30.952771733267742,0.9701352627087605,22.78788663961913,0.8235319690134872,22.78788663961913,0.8235319690134872,18.781637795288034,26.219526143366977,0.0,0.0,0.0,0.018023211547794443,2.5437884437649143
fresh_s2_1000,bus,24,31.892688972670367,0.9943208869521555,20.013307717191356,0.9423012432109088,20.013307717191356,0.9423012432109088,17.23924581042134,21.184802070350816,0.0,0.0,0.0,0.005316348630003631,3.0470018922958686
fresh_s2_1000,camel,24,26.06874426730448,0.9419963568053656,20.675037556241573,0.7591402216559454,20.675037556241573,0.7591402216559454,18.24911447569976,23.32766131357094,0.0,0.0,0.0,0.037708618522932134,12.928691733142605
fresh_s2_1000,car-roundabout,24,33.85641403371838,0.9950166783923334,21.515581973384695,0.9003248627197807,21.515581973384695,0.9003248627197807,19.566462164693682,23.007719137247946,0.0,0.0,0.0,0.005419535601201157,15.082062586494114
fresh_s2_1000,car-shadow,24,47.01898876943908,0.9941657535408579,38.71915988287396,0.9474658952225181,38.71915988287396,0.9474658952225181,35.802428892219986,39.510351048510444,0.0,0.0,0.0,0.006002016967007269,2.635578300965869
fresh_s2_1000,car-turn,24,32.371083309676806,0.9634845112274096,24.11688998998123,0.8019162160933709,24.11688998998123,0.8019162160933709,21.550018526378153,27.97854123102282,0.0,0.0,0.0,0.017644714020813506,2.250069894058549
fresh_s2_1000,cows,24,27.84368423011087,0.9781897880488372,19.06375601631531,0.7517435131444903,19.06375601631531,0.7517435131444903,16.37729053186477,22.765680763039807,0.0,0.0,0.0,0.016920444283944864,8.335951695461636
fresh_s2_1000,dance-jump,24,33.871161678084434,0.979225361900025,25.773830023415588,0.8660836144831604,25.773830023415588,0.8660836144831604,22.14404649404143,26.290907762550404,0.0,0.0,0.0,0.011158310536605617,4.073605457644748
fresh_s2_1000,dance-twirl,24,31.16385641509483,0.9818888696315352,19.490029566102493,0.8621108822950704,19.490029566102493,0.8621108822950704,16.30634054641634,20.487344550014665,0.0,0.0,0.0,0.009611074482866874,6.489775082825318
fresh_s2_1000,dog,24,34.13128130500143,0.9688527453160342,26.798059793980055,0.8266162474999758,26.798059793980055,0.8266162474999758,22.98782467389267,27.30593822364072,0.0,0.0,0.0,0.015306455471242467,2.9979538648267803
