run_id	status	split	comparison	whole_psnr_delta	strict_mask_psnr_delta	boundary_psnr_delta	lpips_delta	ewarp_delta	visual_better	visual_tie	visual_worse_or_artifact	report
exp31_readback_20260627	EXP31_READBACK_COMPLETED	readback	none									reports/exp31_videopainter_2000_readback.md
exp31_resume_policy_20260627	VIDEOPAINTER_2000_FRESH_FROM_STEP0	readback	resume_policy									reports/exp31_vp_resume_policy_audit.md
exp31_l0_l1_20260627	VIDEOPAINTER_2000_L0_L1_PASSED	primary32	L0_L1									reports/exp31_vp_2000_l0_l1.md
exp31_eval_step0_50_2000_launch_20260628	VIDEOPAINTER_2000_STEP0_50_2000_EVAL_RUNNING	search_shadow	step0_step50_step2000									reports/exp31_vp_2000_step0_50_2000_eval_summary.md
exp31_searchdev_step0_50_2000_20260628	VIDEOPAINTER_2000_SEARCHDEV_EVALUATED	search	step2000_vs_step0	5.5701	9.9747	12.0920			all32_reviewed			reports/exp31_vp_2000_searchdev_summary.md
exp31_shadowdev_step0_50_2000_20260628	VIDEOPAINTER_2000_SHADOWDEV_EVALUATED	shadow	step2000_vs_step0	6.2632	10.8860	12.2343			all32_reviewed			reports/exp31_vp_2000_shadowdev_summary.md
exp31_final_decision_20260628	VIDEOPAINTER_2000_PARETO_MIXED	search_shadow	step2000_vs_step0_and_step50	6.2632	10.8860	12.2343			better_vs_step0_and_step50	0	0	reports/exp31_vp_2000_final_decision.md
exp31_strict_readback_20260628	VIDEOPAINTER_2000_STRICT_READBACK_COMPLETE_BASE_AUDIT_PENDING	readback	strict_base_protocol									reports/exp31_vp_2000_strict_readback.md
