run_id	status	split	comparison	frame_range	variant	strict_mask_psnr_delta	boundary_psnr_delta	lpips_delta	ewarp_delta	whole_psnr_delta	tc_delta	vfid_delta	visual_better	visual_tie	visual_worse_or_artifact	seed_robustness	report
vp_primary32_50step_20260625_171032	VIDEOPAINTER_SHADOWDEV_CONFIRMED	shadow-dev	Step50-Step0	no_first_frame	comp	5.186942	12.175098	-0.040142	-8.378847	5.160739	0.004378	-0.031428	25	3	4	SEED_ROBUSTNESS_PASS	reports/exp26_vp_shadowdev_final_decision.md
vp_primary32_50step_20260625_171032_postconfirmation_sanity	EXP26_POSTCONFIRMATION_SANITY_AUDIT_PASSED	shadow-dev-readback	Step50-Step0	no_first_frame	comp	5.186942	12.175098	-0.040142	-8.378847	5.160739	0.004378	-0.031428	25	3	4	SEED_ROBUSTNESS_PASS	reports/exp26_postconfirmation_sanity_audit.md
external_49f_inventory_20260626	EXP26_EXTERNAL_49F_INVENTORY_COMPLETE	external-inventory	none	not_applicable	not_applicable								32				reports/exp26_external_49f_inventory.md
external_validation_preregistration_20260626	EXP26_EXTERNAL_VALIDATION_PREREGISTERED	external-validation-preregistration	Step50-Step0	frames1-48-planned	comp-planned								32				reports/exp26_external_validation_preregistration.md
external_validation_generation_20260626	EXP26_EXTERNAL_GENERATION_COMPLETE	external-validation-generation	Step50-Step0	frames1-48-planned	comp-planned								32		0 unexpected leakage rows		reports/exp26_external_validation_generation_status.md
external_validation_metrics_20260626	EXP26_EXTERNAL_VALIDATION_NOT_CONFIRMED	external-49f	Step50-Step0	no_first_frame	comp	-2.610576	0.662358	0.002466	-3.602171	-2.563047	-0.000965	-0.023539					reports/exp26_external_validation_metrics.md
external_validation_visual_review_20260626	EXP26_EXTERNAL_VIDEO_REVIEW_COMPLETE;EXP26_EXTERNAL_VALIDATION_NOT_CONFIRMED	external-49f	Step50-Step0	no_first_frame	comp	-2.610576	0.662358	0.002466	-3.602171	-2.563047	-0.000965	-0.023539	3	5	24_step0_better_29_new_artifacts	not_applicable	reports/exp26_external_validation_visual_review.md
