step,variant_name,total_loss,dpo_loss,warp_loss,warp_loss_forward,warp_loss_backward,lambda_warp,m_w,m_l,m_w_ref,m_l_ref,norm_win_gap,norm_lose_gap,norm_lose_gap_clipped,winner_abs_reg,winner_gap_reg,loser_dominant_ratio,grad_norm,adapter_grad_norm,base_grad_norm,adapter_residual_norm,adapter_to_base_ratio,residual_scale,confidence_exponent,gate_mean,flow_conf_mean,valid_flow_ratio,warp_valid_ratio,mean_flow_magnitude,motion_score,motion_bin,lr
1,exp19c_lambda020,0.705440104007721,0.6934249997138977,0.3046875,0.302734375,0.3046875,0.02,0.1097889170050621,0.10687407851219177,0.10977528989315033,0.10683345794677734,0.00020261856843717396,0.00036877632373943925,0.00036877632373943925,0.1097889170050621,0.00042212955304421484,0.0,0.0001256238085492625,0.0001256238085492625,0.0,0.10116134397685528,,0.5,2.0,0.010570315644145012,0.5340576171875,0.6262918710708618,0.031378600746393204,3.3153443336486816,0.04231526693889626,low,1e-05
10,exp19c_lambda020,0.7031084299087524,0.6927989721298218,0.251953125,0.2451171875,0.259765625,0.02,0.10151099413633347,0.1296822726726532,0.10152656584978104,0.129703089594841,-0.00019020108447875828,-0.00020079589739907533,-0.00020079589739907533,0.10151099413633347,0.00019849033560603857,0.0,9.538602876586752e-05,9.538602876586752e-05,0.0,0.030888500506989658,,0.5,2.0,0.004617577418684959,0.3526648283004761,0.5411253571510315,0.052345678210258484,21.356922149658203,0.4646033208436971,high,1e-05
20,exp19c_lambda020,0.709515392780304,0.6940381526947021,0.3359375,0.333984375,0.337890625,0.02,0.1667453646659851,0.1341976523399353,0.1666976809501648,0.1342209130525589,0.0003069839149247855,-0.00019509068806655705,-0.00019509068806655705,0.1667453646659851,0.0004261352587491274,0.0,9.124841590742505e-05,9.124841590742505e-05,0.0,0.05775933526456356,,0.5,2.0,0.004822365939617157,0.5954691171646118,0.678535521030426,0.021646090783178806,3.570413112640381,0.0272805408867067,low,1e-05
30,exp19c_lambda020,0.7019678950309753,0.6939896941184998,0.3125,0.32421875,0.302734375,0.02,0.023329854011535645,0.02185450866818428,0.0233220923691988,0.02185564488172531,0.00033515330869704485,-1.8092687241733074e-06,-1.8092687241733074e-06,0.023329854011535645,0.000555553415324539,0.0,0.0002608423787050921,0.0002608423787050921,0.0,0.06558886170387268,,0.5,2.0,0.005510781425982714,0.6393497586250305,0.7056767344474792,0.02026748936623335,5.225071430206299,0.04330730777939738,low,1e-05
40,exp19c_lambda020,0.697799026966095,0.6935005187988281,0.14453125,0.1337890625,0.154296875,0.02,0.02242615446448326,0.01905931532382965,0.022424623370170593,0.01906653493642807,4.7641828132327646e-05,-0.0003722327237483114,-0.0003722327237483114,0.02242615446448326,0.0002932881470769644,0.0,0.00010427389494562269,0.00010427389494562269,0.0,0.018317821202799678,,0.5,2.0,0.00216442858800292,0.18147674202919006,0.4803530275821686,0.02724279835820198,12.452057838439941,0.13093651898103706,medium,1e-05
50,exp19c_lambda020,0.7009169459342957,0.6940852403640747,0.306640625,0.298828125,0.314453125,0.02,0.0028889444656670094,0.0018203239887952805,0.0028899319004267454,0.001825261628255248,-0.000334814190864563,-0.002817490603774786,-0.002817490603774786,0.0028889444656670094,0.0005532621289603412,0.0,0.00014568110382585836,0.00014568110382585836,0.0,0.046160547994077206,,0.5,2.0,0.0036674237344413996,0.20663614571094513,0.3550136387348175,0.027654320001602173,10.299698829650879,0.09282183928537667,medium,1e-05
60,exp19c_lambda020,0.7056493759155273,0.6935466527938843,0.36328125,0.36328125,0.361328125,0.02,0.08841709047555923,0.09359724074602127,0.08840493857860565,0.09359367191791534,0.00015897763660177588,-5.116453394293785e-08,-5.116453394293785e-08,0.08841709047555923,0.0004186650621704757,0.0,0.00013168416299126254,0.00013168416299126254,0.0,0.07201250083744526,,0.5,2.0,0.0031270640902221203,0.6403726935386658,0.6970998644828796,0.020082304254174232,2.259782552719116,0.014479700241926869,low,1e-05
70,exp19c_lambda020,0.7005341053009033,0.6938779354095459,0.212890625,0.2099609375,0.2158203125,0.02,0.03927638381719589,0.03136974200606346,0.039264462888240814,0.03136926144361496,0.0002968491753563285,2.0717285224236548e-05,2.0717285224236548e-05,0.03927638381719589,0.00041992717888206244,0.0,0.00019706589300669323,0.00019706589300669323,0.0,0.053199278190732,,0.5,2.0,0.0027134760748595,0.4913823902606964,0.6925160884857178,0.015843620523810387,2.153773069381714,0.016260480567726554,low,1e-05
80,exp19c_lambda020,0.70478355884552,0.6930185556411743,0.337890625,0.337890625,0.337890625,0.02,0.09368793666362762,0.07709553837776184,0.09370171278715134,0.07711174339056015,-0.00010461216879775748,-0.0002072153438348323,-0.0002072153438348323,0.09368793666362762,0.00033621664624661207,0.0,0.00010821428025235685,0.00010821428025235685,0.0,0.029891405254602432,,0.5,2.0,0.006394420750439167,0.5482755899429321,0.7086522579193115,0.016419753432273865,1.2500369548797607,0.007418859310402104,low,1e-05
90,exp19c_lambda020,0.7013145089149475,0.6941051483154297,0.31640625,0.31640625,0.318359375,0.02,0.005461386404931545,0.004964266903698444,0.0054604364559054375,0.004967099986970425,0.00022741229622624815,-0.0006144140497781336,-0.0006144140497781336,0.005461386404931545,0.0006191981956362724,0.0,8.744642535153628e-05,8.744642535153628e-05,0.0,0.027198185678571463,,0.5,2.0,0.001350542064756155,0.4380407929420471,0.6507396697998047,0.017530864104628563,3.757115125656128,0.028229704461835925,low,1e-05
